Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133
R_4,2.503,2.544,2.477,2.495,2.463,2.531,2.487,2.518,2.448,2.603,2.583,2.451,2.493,2.633,2.51,2.595,2.565,2.537,2.61,2.479,2.523,2.545,2.716,2.593,2.565,2.627,2.609,2.583,2.75,2.702,2.65,2.747,2.6,2.681,2.586,2.698,2.678,2.81,2.767,2.792,2.698,2.695,2.698,2.723,2.718,2.708,2.735,2.704,2.774,2.854,2.682,2.828,3.086,3.464,4.287,5.04,5.905,6.796,7.875,8.746,9.776,10.902,11.655,12.762,13.745,14.863,15.739,16.796,17.857,18.924,19.924,21.267,21.535,22.618,23.618,23.755,25.067,25.833,26.177,26.467,26.602,26.753,27.041,26.866,26.912,27.014,27.227,26.992,26.817,26.709,26.022,25.807,25.629,25.407,25.237,24.629,24.307,24.462,23.55,23.446,23.212,22.853,23.235,22.694,21.96,22.09,21.911,21.796,21.427,21.217,21.219,20.949,20.728,20.174,20.31,20.052,19.46,19.383,19.333,19.299,18.812,18.659,18.49,18.54,18.495,18.122,17.95,17.078,17.012,17.152,16.815,16.369,16.201
L_4,1.722,1.732,1.717,1.848,1.76,1.692,1.703,1.721,1.769,1.83,1.77,1.686,1.744,1.91,1.868,1.754,1.89,1.709,1.843,1.797,1.757,1.76,1.849,1.808,1.754,1.917,1.82,1.86,1.742,1.869,1.843,1.841,1.787,1.934,1.844,1.934,1.858,2.03,1.985,1.759,1.912,1.921,1.824,1.91,1.904,1.856,1.897,1.929,1.893,1.913,1.907,1.958,2.263,2.591,3.325,4.007,4.778,5.555,6.665,7.477,8.312,9.526,10.278,11.325,12.25,13.224,13.772,14.735,16.068,17.029,18.119,19.147,19.97,20.931,22.181,21.77,23.116,24.171,23.663,23.939,24.445,24.678,25.059,24.873,25.023,25.403,25.238,25.148,24.881,24.579,24.38,23.6,23.513,23.235,22.958,22.705,22.415,22.385,22.136,21.343,21.441,20.87,21.26,21.012,18.984,19.303,19.19,19.369,18.85,18.773,18.879,18.658,18.526,18.487,18.051,17.75,17.487,17.566,17.354,17.082,16.44,16.275,16.321,16.098,15.86,15.257,15.055,15.177,14.726,14.529,14.522,13.945,13.888
RED_5,314.039,313.166,312.63,312.921,312.388,312.485,313.675,312.148,312.094,312.4,311.973,313.37,313.748,312.678,312.722,312.349,312.864,312.746,311.565,312.204,312.173,312.547,311.617,312.229,311.374,311.648,311.146,312.059,312.395,311.591,312.465,312.225,311.674,311.178,312.248,311.823,312.787,311.789,311.859,310.995,311.769,312.499,311.833,311.289,311.848,311.876,311.333,310.956,310.659,312.963,1409.003,1491.381,1500.795,1503.668,1512.227,1514.959,1524.444,1525.542,1519.739,1519.267,1520.575,1516.247,1527.024,1523.817,1523.974,1519.277,1516.896,1506.662,1514.005,1517.938,1521.653,1527.924,1527.435,1528.262,1530.993,314.467,314.709,314.143,314.158,313.165,314.029,312.99,311.881,313.22,313.831,312.807,314.456,312.283,313.036,313.719,313.912,313.106,312.408,313.515,312.847,312.618,312.483,312.682,312.333,312.971,313.077,312.197,312.277,312.476,311.404,312.457,311.884,311.931,312.709,312.282,311.618,311.568,313.004,312.7,312.247,311.84,313.075,312.536,311.869,311.492,311.83,311.438,311.38,311.825,311.723,311.275,312.41,310.881,311.572,311.666,311.261,311.266,310.994
R_5,2.223,2.228,2.284,2.248,2.292,2.481,2.262,2.397,2.304,2.32,2.375,2.466,2.416,2.428,2.371,2.446,2.305,2.373,2.361,2.478,2.451,2.475,2.32,2.464,2.456,2.363,2.548,2.581,2.487,2.503,2.573,2.431,2.469,2.555,2.415,2.608,2.601,2.541,2.543,2.504,2.528,2.571,2.519,2.463,2.447,2.599,2.561,2.446,2.436,2.626,2.566,2.587,2.766,3.051,3.684,4.4,5.07,5.773,6.561,7.353,8.135,8.933,9.842,10.532,11.45,12.061,12.975,13.801,14.781,15.641,16.369,17.137,17.945,19,19.001,19.535,20.059,20.741,21.178,21.374,21.671,22.225,22.388,21.622,21.685,22.002,22.043,21.555,21.845,20.781,20.599,20.617,20.487,20.269,20.306,20.282,19.513,19.585,19.327,19.078,18.637,17.422,17.294,17.226,17.266,17.167,16.956,16.966,16.613,16.324,16.385,16.09,16.066,16.049,14.446,14.425,14.424,14.211,14.021,13.914,13.756,13.695,13.338,13.276,13.04,12.811,12.266,12.273,11.95,11.904,11.801,11.6,11.04
L_5,1.23,1.269,1.373,1.284,1.292,1.312,1.374,1.271,1.282,1.275,1.364,1.386,1.28,1.384,1.35,1.301,1.325,1.25,1.384,1.329,1.475,1.434,1.281,1.338,1.411,1.369,1.458,1.33,1.424,1.32,1.253,1.219,1.433,1.425,1.359,1.458,1.363,1.535,1.495,1.342,1.471,1.386,1.423,1.374,1.458,1.439,1.341,1.356,1.395,1.412,1.478,1.464,1.604,1.78,2.418,2.824,3.266,3.7,4.332,4.838,5.288,5.972,6.551,7.154,7.983,8.42,8.85,9.49,10.141,10.913,11.437,12.259,12.436,13.12,13.745,14.15,14.3,14.804,15.031,15.105,15.542,15.857,15.949,16.024,16.189,15.251,15.433,15.41,15.433,15.205,15.372,13.793,13.879,13.621,13.608,13.408,13.059,12.873,12.832,12.377,12.291,12.315,11.78,11.812,11.762,11.669,11.444,10.829,10.982,10.851,10.544,10.274,10.425,9.98,10.061,10.03,9.86,9.669,9.575,9.37,9.348,9.172,9.019,8.647,8.634,8.611,7.978,8.125,8.048,7.793,7.694,7.661,7.493
RED_6,312.03,310.89,311.676,312.25,312.451,311.597,311.541,311.555,311.799,311.262,311.317,311.585,311.274,311.624,311.883,311.225,311.156,310.992,311.396,309.972,310.653,310.514,311.555,311.233,311.136,310.948,311.308,311.47,310.914,311.573,311.946,310.493,311.262,311.196,310.981,311.147,311.404,310.894,311.202,310.567,310.348,310.96,310.877,310.821,310.613,310.338,311.257,311.693,310.163,310.929,981.544,1019.977,1024.855,1032.704,1034.694,1035.615,1038.434,1036.315,1037.153,1037.962,1038.775,1037.69,1042.981,1037.977,1039.11,1037.578,1035.552,1029.697,1034.84,1033.543,1041.731,1043.082,1041.985,1040.545,1043.712,313.03,312.762,312.3,312.631,312.58,312.263,312.492,312.143,312.676,311.633,312.749,312.158,311.448,312.059,312.11,311.25,311.526,312.085,310.406,311.415,312.045,312.316,310.663,310.947,311.456,310.882,310.734,310.532,311.376,309.739,310.836,311.735,310.992,312.435,310.616,311.433,309.75,311.011,312.174,310.981,311.312,310.95,311.114,310.969,311.217,310.486,311.763,311.438,310.097,311.046,309.474,310.667,310.524,310.555,310.304,309.773,310.825,310.658
R_6,2.019,2.04,2.213,2.2,2.172,2.266,2.121,2.192,2.133,2.227,2.185,2.096,2.102,2.071,2.19,2.06,2.087,2.213,2.157,2.069,2.221,2.337,2.335,2.236,2.179,2.221,2.211,2.217,2.259,2.224,2.261,2.136,2.303,2.27,2.223,2.282,2.322,2.19,2.108,2.229,2.121,2.14,2.253,2.283,2.115,2.273,2.295,2.169,2.187,2.28,2.125,2.231,2.48,2.574,2.712,3.094,3.53,3.945,4.233,4.65,5.009,5.393,5.843,6.185,6.755,7.154,7.63,7.735,8.404,8.86,9.428,9.802,10.264,10.752,10.73,11.005,11.49,11.688,11.831,12.299,12.482,12.502,12.765,12.416,12.532,12.432,12.418,11.704,11.877,11.881,11.831,11.397,11.494,11.234,11.174,10.79,10.648,10.625,10.583,10.362,9.932,9.793,9.773,9.71,9.561,9.121,9.03,8.992,9.07,9.134,9.032,9.021,8.93,8.4,8.523,7.996,7.989,7.902,7.863,7.732,7.725,7.422,7.443,7.396,7.191,6.834,6.818,6.967,6.861,6.628,6.658,6.472,6.594
L_6,1.321,1.363,1.453,1.494,1.432,1.47,1.582,1.606,1.473,1.495,1.562,1.401,1.389,1.51,1.506,1.627,1.468,1.371,1.415,1.441,1.448,1.47,1.56,1.476,1.528,1.432,1.379,1.421,1.51,1.48,1.473,1.433,1.441,1.507,1.412,1.448,1.523,1.473,1.547,1.5,1.417,1.445,1.54,1.421,1.551,1.346,1.462,1.585,1.437,1.534,1.552,1.501,1.65,1.807,2.219,2.273,2.828,3.129,3.54,3.96,4.291,4.7,5.26,5.409,5.89,6.36,6.805,7.295,7.737,8.422,8.974,9.4,9.772,10,10.233,10.444,10.903,11.3,11.489,11.656,10.973,11.08,11.441,11.471,11.143,11.508,11.007,10.807,11.122,11.027,10.876,10.687,10.551,10.305,10.045,9.972,9.869,9.315,9.036,8.947,9.107,9.128,9.007,8.537,8.592,8.334,7.988,7.688,7.817,7.644,7.624,7.734,7.359,7.387,7.479,7.534,6.955,6.79,6.762,6.528,6.527,6.569,6.507,6.345,6.302,6.119,6.041,6.101,5.895,5.687,5.214,5.055,5.074
RED_8,311.285,312.049,311.279,312.864,312.598,311.167,312.483,310.884,311.836,311.176,311.579,311.48,311.481,311.565,310.904,311.249,311.176,310.703,310.838,310.107,309.754,311.214,311.113,311.819,310.639,310.401,310.648,309.964,311.172,310.511,309.642,310.149,311.333,311.081,310.797,311.24,311.013,309.973,310.711,311.274,310.347,310.516,310.464,310.494,310.521,310.526,310.69,310.476,310.136,311.08,312.279,312.668,313.025,312.245,311.999,312.819,313.569,312.88,312.66,313.028,312.818,313.931,313.201,313.236,313.48,312.966,312.949,312.878,312.792,312.987,313.225,313.136,312.703,312.851,311.638,310.924,312.555,311.684,311.598,311.205,311.961,310.458,310.197,311.848,311.148,311.04,310.96,311.173,311.41,311.31,310.584,310.981,310.445,309.849,310.504,310.632,310.522,310.387,310.405,310.496,309.71,311.462,310.168,309.891,309.837,309.857,310.28,310.056,310.169,310.03,310.976,310.657,311.335,311.13,310.679,311.025,310.551,310.652,310.168,311.043,310.463,309.985,310.788,311.166,310.416,309.978,308.695,309.191,310.335,310.336,309.526,309.892,309.355
R_8,2.066,2.027,2.077,2.164,2,2.128,2.162,2.005,1.992,1.924,2.185,2.15,2.087,2.072,1.999,2.016,2.08,2.104,2.09,1.995,2.05,2.093,2.108,2.087,2.16,2.172,2.066,2.181,2.151,2.156,2.097,2.127,2.025,2.011,2.116,2.234,2,2.124,2.097,2.185,2.106,2.154,2.034,2.176,2.195,1.95,2.04,2.063,2.126,2.094,2.131,2.224,2.225,2.216,2.228,2.223,2.21,2.178,2.31,2.214,2.258,2.268,2.282,2.155,2.255,2.198,2.295,2.218,2.235,2.317,2.217,2.299,2.235,2.211,2.283,2.152,2.223,2.155,2.219,2.088,2.215,2.224,2.19,2.252,2.27,2.154,2.31,2.116,2.19,2.219,2.239,2.154,2.193,2.208,2.067,2.039,2.231,2.246,2.12,2.14,2.16,2.209,2.201,2.108,2.237,2.173,2.225,2.228,2.28,2.294,2.493,2.259,2.174,2.436,2.349,2.231,2.395,2.326,2.366,2.337,2.307,2.11,2.166,2.297,2.421,2.363,2.323,2.321,2.237,2.226,2.251,2.256,2.326
L_8,1.504,1.466,1.553,1.621,1.532,1.56,1.625,1.472,1.675,1.504,1.534,1.566,1.642,1.555,1.532,1.497,1.559,1.488,1.633,1.473,1.525,1.692,1.566,1.628,1.692,1.69,1.583,1.526,1.635,1.537,1.598,1.578,1.632,1.597,1.623,1.604,1.584,1.658,1.535,1.724,1.711,1.603,1.606,1.464,1.593,1.571,1.604,1.613,1.672,1.665,1.784,1.755,1.854,1.84,1.902,1.884,1.871,1.875,1.783,1.806,1.852,1.838,1.745,1.743,1.737,1.809,1.773,1.817,1.736,1.831,1.695,1.733,1.797,1.801,1.788,1.726,1.752,1.728,1.651,1.63,1.752,1.717,1.725,1.758,1.751,1.66,1.78,1.853,1.748,1.861,1.797,1.829,1.878,1.69,1.774,1.715,1.777,1.703,1.742,1.715,1.812,1.794,1.649,1.803,1.773,1.785,1.727,1.79,1.81,1.847,1.777,1.772,1.772,1.791,1.716,1.898,1.825,2.008,1.918,1.877,1.854,1.794,1.878,1.825,1.872,1.847,1.891,1.914,1.903,1.746,1.737,1.839,1.773
