strain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
ALE1,0.893246589,0.894138951,0.900316788,0.899541781,0.904826199,0.904094163,0.907205252,0.899470086,0.904851026,0.897513049,0.900953387,0.898727049,0.900446256,0.897375988,0.903294078,0.959893848,1.316683242,2.231453765,3.846499611,6.14592256,9.364255405,13.37415185,17.5362844,20.79703184,22.73727285,22.74360455,21.67649007,20.52830787,19.62665375,18.66782714,17.96446753,17.2170847,16.61364612,15.90424456,15.43432747,14.97417409,14.51708297,14.11369424,13.79491329,13.40272076,13.18596237,12.86916488,12.92852184,12.27957527,12.07108757,11.90178669,11.68526275,11.51348453,11.29981335,11.18158437,11.02521233,10.94324155,10.81251157,10.72378578,10.65927153,10.5200855,10.44514185,10.39034361,10.36486722,10.26544397,10.17424729,10.11466754,10.0640847,10.06446117,9.914117936,9.906947419,9.811984447,9.80551412,9.731444364,9.625959276,9.620974212,9.516954914,9.469483661,9.431017273,9.450696523,9.374975456,9.313482565,9.247939073,9.217679639,9.159001988,9.091234049,9.050050118,8.980660356,9.006434353,9.044086829,8.851722757,8.800906041,8.796103681,8.688274877,8.658088319,8.577296264,8.530073792,8.505763609,8.472453835,8.457861727,8.390189024,8.314534484,8.306628641,8.325768902,8.286088063,8.24906874,8.226806431,8.204309502,8.154907007,8.156848995,8.03290864,8.053320847,8.03638695,7.938701463,7.976505471,7.911076985,7.960403452,7.884445495,7.962852872,7.889171547,7.980229448,8.089689804,8.016984583,8.020700455,7.950925221,7.964328127,7.885371758,7.737440078,7.752791184,7.729071772,7.668982178,7.647559797,7.322283948,7.358920985,7.425537085,7.342019716,7.325682365,7.314560749,7.317316569,7.236882304,7.153784079,7.038056706,6.867583576,6.694108135,6.302418478,5.990421695,5.65863357,5.29628023,4.927908781,4.406771995,4.240800991,4.109642834,4.010275842,3.972246989,4.058147075
ALE1,0.930047596,0.937554013,0.940949495,0.938503826,0.944141651,0.944588943,0.946682277,0.944194711,0.942759754,0.943821407,0.944522712,0.941623482,0.947067937,0.944641205,0.951080195,1.025518737,1.381704389,2.23894776,3.720142078,5.798151614,8.637179674,12.12663186,15.7503039,19.52539451,22.47138354,24.03801587,23.70874082,22.87595859,22.00736332,21.10394069,20.43822299,19.65526852,19.06063786,18.30560505,17.83542119,17.35529555,16.76988655,16.31429465,16.02619682,15.55793821,15.26971778,14.88789983,14.89085425,14.15074621,13.96275672,13.69152481,13.53493953,13.33205284,13.04564772,12.90814922,12.73576878,12.65920998,12.50017555,12.40102383,12.35651013,12.17250824,12.09270496,12.04329914,12.02009975,11.87624919,11.78168063,11.71447751,11.70921789,11.71336575,11.49646015,11.51164471,11.38926972,11.39510236,11.28006868,11.23335813,11.1813944,11.01858765,11.05248849,10.92782174,10.98335309,10.89763982,10.87199644,10.81032673,10.83130145,10.70468441,10.69695868,10.61388218,10.55297043,10.67060777,10.73402869,10.55185236,10.54957614,10.53010248,10.32060863,10.33162723,10.26728475,10.32626334,10.37041455,10.35300244,10.37135462,10.28215201,10.19286154,10.23237628,10.28299657,10.24966615,10.26822179,10.17929804,10.25684839,10.21161773,10.19813965,10.12471388,10.13875153,10.08286707,9.987077352,9.980363307,9.891199887,9.952196535,9.846534112,10.02144919,9.927052322,10.02715142,10.09682599,10.02859921,10.08396292,10.0409507,10.15408629,10.16775031,10.09871927,10.07968163,10.06685079,9.94566366,10.0657438,9.950105587,9.949494426,9.996314852,9.916944333,9.835543004,9.832617574,9.806309203,9.728793513,9.694598268,9.747200005,9.733681572,9.742197177,9.720165452,9.736809346,9.748430214,9.770375596,9.702579519,9.643249632,9.56454504,9.466572129,9.27655783,9.153516027,9.232886401
ALE1,0.919575583,0.920463088,0.919694813,0.917435603,0.918902071,0.916716553,0.919753055,0.91828158,0.918082066,0.917927241,0.917116178,0.918842169,0.91992259,0.915929033,0.919464925,0.961264264,1.246308983,2.016052135,3.44728299,5.611600438,8.658755976,12.393971,16.4225841,19.83850306,22.05840973,23.12938157,22.46543176,21.46671114,20.57568281,19.73007855,18.9871422,18.1872167,17.55327937,16.9099996,16.36054054,15.93340099,15.32210526,14.93527357,14.54968288,14.21649545,13.84051885,13.49155709,13.53450294,12.79701363,12.52576215,12.2720669,12.05190581,11.86696835,11.59790911,11.43446925,11.29207508,11.1321453,10.99735089,10.84835527,10.79999508,10.60210706,10.51634105,10.3376949,10.28705244,10.18547712,10.01828972,9.949043226,9.846611541,9.841217562,9.653055948,9.645220307,9.48214473,9.500936297,9.367391213,9.290103137,9.271764083,9.162215085,9.209590419,9.07581506,9.112649823,9.081920912,9.018997349,8.945704454,8.919822019,8.838284995,8.880662372,8.76653892,8.766627404,8.751301573,8.817083794,8.64731525,8.702044732,8.699883019,8.63281808,8.653918508,8.567847983,8.622958007,8.664742612,8.753466903,8.794711011,8.705722389,8.672918976,8.676840171,8.718671675,8.792015361,8.872535045,8.82908079,8.967562867,8.928819262,9.026748224,8.934676772,9.020779403,9.024230184,8.931382555,8.976794127,8.941035618,9.006592132,8.968265754,9.072912433,8.889040066,8.902542864,9.044421028,8.957592766,9.070979428,9.068634997,9.300626638,9.213752511,9.207314506,9.24576124,9.208949087,9.134707651,9.223543339,9.217850495,9.27285519,9.250113482,9.42510267,9.481864743,9.689796615,9.728155025,9.739186461,9.805544868,9.95155901,10.09750655,10.1134623,10.17224798,10.24057352,10.26679129,10.30964224,10.35851105,10.4288439,10.4707288,10.47113551,10.49433334,10.85883841,10.90327086
ALE1,0.914003978,0.912559359,0.912899974,0.910673107,0.913675419,0.913319651,0.913282287,0.90673998,0.911755547,0.9105468,0.908317409,0.910697808,0.90926263,0.906751354,0.908547491,0.944853171,1.177823479,1.805528726,3.022177777,4.797017666,7.403893493,10.75983861,14.59581709,18.36639367,21.14578224,22.41596724,21.69670464,20.56867198,19.56078796,18.59996302,17.82817158,17.0216281,16.36997603,15.70179481,15.07985223,14.72232759,14.11242061,13.70714989,13.33154733,13.03153294,12.6997944,12.37176158,12.3992821,11.65339795,11.42234697,11.19654322,10.99467366,10.83968735,10.57769259,10.46514069,10.32293662,10.18096548,10.04535401,9.922669373,9.874831322,9.725882199,9.576442592,9.42043002,9.382298995,9.276911132,9.15971325,9.11988273,9.026099575,9.019768977,8.883648333,8.850055602,8.723518532,8.735759585,8.637870059,8.579972341,8.553887638,8.445821971,8.481383783,8.398426646,8.411691265,8.414816224,8.352416214,8.267449443,8.243362292,8.172977605,8.196080241,8.113461818,8.108921834,8.069012691,8.150613512,7.957041002,7.994977763,8.000065965,7.918848827,7.943302793,7.869689113,7.844561547,7.863417633,7.89321621,7.912132526,7.802669158,7.743643604,7.746131426,7.734484327,7.734033754,7.784823859,7.757708689,7.750450522,7.72646568,7.757464523,7.682782422,7.733537081,7.712022863,7.61268552,7.653332016,7.643066401,7.707753062,7.698570217,7.780736242,7.691982789,7.714647494,7.904836453,7.867052635,7.94536999,7.935267571,8.015029699,7.971106044,7.92614613,7.903715868,7.86484489,7.783944511,7.812680146,7.800798375,7.881747126,7.844641572,7.830646019,7.834394328,7.940730872,7.965852725,7.920152593,7.943094998,7.908970893,7.924540239,7.835971653,7.779929738,7.812660984,7.821775064,7.751112208,7.68813795,7.536033212,7.534166903,7.493967971,7.308260422,7.376952714,7.381978096
ALE1,0.878004803,0.879619369,0.883379778,0.885006163,0.886933602,0.885551742,0.887886694,0.883808478,0.880681382,0.885280791,0.884329337,0.884482791,0.885116784,0.882069935,0.882216656,0.931827905,1.186698744,1.835309547,2.986769002,4.577398189,6.7997128,9.646467736,12.57928879,15.68746918,17.94046589,19.39450261,19.98762998,20.01726514,19.37601106,18.57327757,17.74526716,16.92131645,16.25084985,15.55799727,14.94311938,14.50447202,13.91155925,13.52239027,13.14981303,12.79641347,12.44833383,12.1391423,12.15476673,11.43165943,11.17850207,10.97686738,10.73015059,10.55522223,10.30300865,10.16929214,10.01846713,9.912403628,9.777875497,9.66429953,9.610271218,9.462004235,9.317139587,9.192393825,9.175616337,9.052674656,8.956099124,8.854106632,8.805165209,8.78806323,8.632750054,8.648836642,8.503074407,8.521852521,8.412859508,8.359079861,8.319626472,8.202800364,8.217636082,8.117165647,8.148526738,8.098832224,8.069393347,7.954274071,7.928903004,7.858929494,7.866244648,7.791538522,7.773344344,7.766521423,7.845310036,7.675272774,7.705284808,7.695553366,7.602177693,7.631971765,7.517884323,7.503134784,7.543752,7.487175648,7.511674346,7.441636305,7.407926521,7.412133085,7.429920667,7.387589561,7.411495549,7.392412793,7.398955111,7.367470459,7.40362587,7.336702722,7.392264796,7.394775764,7.323663602,7.367352183,7.32763797,7.399181936,7.419688377,7.479489786,7.387763612,7.476454153,8.198981058,8.171147571,8.195782286,8.153921922,8.153119331,8.071283117,8.042112831,8.007059347,7.9256732,7.831475593,7.829613228,7.866249023,7.830076919,7.788428279,7.792940569,7.780804891,7.676391259,7.683192872,7.631341697,7.658373649,7.665567026,7.638995987,7.624164426,7.531517187,7.536187938,7.474972708,7.445022088,7.423869961,7.349092734,7.368749115,7.355763626,7.223925162,7.219049378,7.173275132
ALE1,0.95916921,0.958800132,0.958608874,0.963152188,0.963161148,0.961378489,0.965922704,0.964757184,0.962899305,0.968009296,0.971211739,0.970638483,0.976475445,0.977802254,0.980030916,1.020791148,1.300425191,1.959031887,3.049382112,4.655460118,6.928550084,9.53980359,12.71762334,15.58897716,18.07433846,19.52000024,18.92717434,18.30535569,17.50303698,16.7627201,15.61853829,15.3117003,14.62958365,14.71465148,13.9535576,14.12713009,13.20043733,13.23075068,12.80510928,12.96994464,12.46074309,12.37744831,12.39868911,11.64382624,11.43930938,11.1805497,11.05140368,11.00382864,10.76597069,10.75190551,10.73819812,10.48316288,10.37843044,10.33641704,10.29389513,10.20910293,10.03750064,10.01868578,9.862649337,9.838123089,9.743838392,9.683490342,9.676012363,9.691669359,9.577651413,9.443936302,9.350747375,9.34911337,9.244623787,9.263269744,9.210086187,9.104758016,9.250993605,9.128933163,9.12403644,9.185451478,9.086017403,9.027567866,9.004712533,8.936144936,8.968937135,8.905041911,8.943499112,8.87882511,8.957787265,8.768133359,8.713082039,8.72650373,8.690079963,8.717742696,8.627386013,8.591252733,8.690519506,8.616803309,8.625156168,8.491450185,8.445644009,8.43463396,8.422655294,8.397095409,8.390980696,8.373893473,8.336233008,8.298303053,8.317579614,8.232017451,8.229432659,8.218427803,8.129436077,8.25728501,8.052219442,8.046419145,8.015708624,8.094197023,7.926308848,7.850412565,9.889110607,9.809516943,9.896180696,9.861957529,9.904984539,9.832832707,9.844306916,9.890482,9.849404885,9.768713976,9.874623554,9.939767302,10.05050644,10.0050766,10.07923367,10.06629074,10.11260154,10.1099976,10.14477777,10.17791162,10.19754803,10.22806199,10.26925838,10.34074768,10.38696294,10.35643087,10.38433539,10.42603171,10.44143774,10.48034813,10.4778434,10.50351923,10.56285505,10.6313278
ALE2,0.882893084,0.8771703,0.883328741,0.879970565,0.882953198,0.880841492,0.883039131,0.882840868,0.884683774,0.881798193,0.883314088,0.877777678,0.881147779,0.881715986,0.885063907,0.896975086,1.003523926,1.342688607,2.003325109,2.872280501,4.160329478,5.275802764,7.31161629,9.932703883,12.98168195,16.1489723,18.92575451,20.69163116,21.76952996,21.6581275,21.21775543,20.6831574,20.21833628,19.61890228,19.00520534,18.76317252,18.18995152,17.84183735,17.43689125,17.15948212,16.75801971,16.50182518,16.32427964,15.75731101,15.48715944,15.21479638,15.14952599,15.0112967,14.75078245,14.66588707,14.59880535,14.32960521,14.15288648,14.015524,14.01648101,13.92281672,13.75128047,13.65868226,13.56558001,13.49370377,13.42322103,13.35278389,13.2839386,13.28738215,13.1433021,12.96163608,12.89272901,12.82294337,12.75895243,12.67719771,12.61842611,12.54780407,12.52140348,12.3955042,12.36211758,12.40951688,12.2495551,12.21133644,12.13556629,12.15121564,12.09025822,12.09577721,12.15975487,12.06153729,12.16306705,12.0346834,12.07250769,12.08099711,12.1297725,12.11156301,12.034851,12.04115434,12.00813572,11.98328235,11.98989843,12.51904662,12.34753385,12.32552337,12.27756457,12.24246326,12.10213662,12.07463734,12.10071113,11.94869997,12.0017836,11.91985999,11.88635992,11.87589785,11.78195292,11.84720197,11.73063163,11.7331406,11.56640237,11.65114857,12.4619013,12.32659618,12.35155866,12.14119326,11.95236815,11.802586,11.56800614,11.28477521,10.82760944,10.12140565,11.81470066,11.83843057,11.93072962,11.76652579,11.96276217,11.80708243,11.66373552,11.52648767,11.51403828,11.53217305,11.35980687,11.06086565,11.0025223,10.9715473,11.05355752,12.81219965,11.9818439,12.14355009,11.9680653,14.8631736,14.77600894,14.83268867,14.84081076,14.9462433,15.01856848,14.9815542
ALE2,0.863707416,0.867289379,0.869691056,0.867211952,0.867877636,0.865879488,0.870489286,0.869295135,0.876953203,0.872249966,0.874566744,0.87097554,0.86974944,0.869078892,0.875144283,0.907315272,1.133039861,1.722760004,2.830411328,4.368662151,6.622036243,9.342534637,12.67226121,16.38996592,19.87640777,22.1980567,23.24105203,22.76602533,21.95412381,21.10492341,20.32967467,19.61624092,18.92520898,18.17467603,17.59816645,17.16137074,16.5428031,16.15319833,15.69429731,15.35930482,15.02894268,14.64787122,14.46918948,13.85309084,13.57102562,13.29246291,13.11594194,12.90065632,12.65818395,12.52886878,12.31799629,12.18971499,11.98358366,11.84737232,11.85773357,11.74123404,11.59492129,11.40485674,11.494161,11.37422846,11.22287425,11.15746135,11.03788448,10.99440907,10.84955325,10.79406117,10.65853476,10.64875465,10.54612137,10.52424223,10.42918658,10.33094105,10.26685583,10.11621469,10.13016733,10.04987574,9.896684901,9.750371837,9.694435381,9.61548895,9.47856804,9.399947943,9.317213903,9.009976872,9.201510666,8.937040522,8.755565505,8.589926981,8.492407526,8.428151779,8.286763175,8.166337454,8.072615829,8.050207049,8.028857089,8.535460456,8.28324836,8.317592891,8.38450316,8.29705878,8.19948888,7.987924829,7.837022674,7.736656212,7.767375805,7.83422654,7.792283895,7.63291581,7.389019263,7.478961699,7.375702794,7.430924388,7.341522423,7.319697849,8.578037743,8.542881873,9.521115073,9.56963791,9.544572557,9.565494924,9.517145347,9.49706794,9.390603996,9.738296224,9.878966112,9.88039352,9.773149559,9.623474934,9.637389846,9.394824372,9.357531858,9.356807549,9.258208592,9.262075123,9.136243378,8.991128549,8.995539784,9.112423743,9.131405523,10.65591422,11.2558194,11.22670607,11.25228824,11.58818885,11.69662636,12.43693419,12.41779769,12.52170513,12.51492832,12.74253889
ALE2,0.91223716,0.915372587,0.932382183,0.936042536,0.935667529,0.931560637,0.93865141,0.935113172,0.940136828,0.937035219,0.936703167,0.929874612,0.931470396,0.929088945,0.931979604,0.983328884,1.261411779,1.945829981,3.217248408,4.842939501,7.13352364,9.75657282,12.88582774,16.08135685,19.10954385,20.53887038,20.33245856,20.00918032,19.33820925,18.46602257,17.81335221,17.34390536,16.84584848,16.3437528,15.58334575,15.63279999,15.12448966,14.75382761,14.3834954,14.27450741,13.86562201,13.69187846,13.43895943,14.46207459,14.18055249,13.96583524,13.78519295,13.62661971,13.35820041,13.252541,13.10923745,12.96352302,12.84796464,12.72120889,12.69715093,12.59581701,12.48244534,12.36065118,12.30636488,12.15013785,12.11398303,12.05260725,11.8959883,11.84537002,11.71297572,11.72568523,11.68844607,11.62010734,11.55893475,11.47698553,11.42018449,11.32114488,11.24344386,11.12271776,11.12966029,10.99729246,10.96709707,10.80015234,10.72388943,10.80489761,10.71697798,10.62147955,10.56476545,10.51901328,10.53112939,10.39097906,10.40064256,10.31542122,10.24079671,10.14667596,9.99258444,9.938737607,9.8945199,9.760864292,9.605128243,10.3745772,10.26536094,10.16134378,10.09566485,10.05543628,9.941700096,9.778961929,9.792388652,9.572045418,9.505263559,9.344011084,9.250883837,9.088371918,8.872905396,8.77899665,7.811052442,8.586724935,8.378152027,8.342983299,9.591102189,9.464735404,9.544717746,9.411335155,9.275715248,9.108513033,9.004316174,7.337231215,7.313843011,7.320407578,6.894690281,6.732500344,6.7749611,6.426503154,6.534572738,6.336904311,5.326847905,5.00590953,4.984436844,5.166380216,5.123741579,5.248660297,5.492612113,5.499682632,6.023288874,6.305299023,6.947071389,7.987447935,8.17929351,8.732687466,8.935448584,10.26574841,10.48641611,9.801437251,9.486685305,9.298034191
ALE2,0.940856448,0.932731159,0.942979732,0.933017316,0.933543219,0.942109612,0.937940898,0.940235995,0.940800753,0.938144989,0.942999806,0.937398838,0.941851702,0.938562938,0.94207094,1.003612494,1.318332157,2.006457502,3.204434853,4.97184162,7.380315145,10.35477323,14.06731881,17.76931041,20.8367199,22.29544923,22.2409981,21.58347281,20.97921454,20.11417569,19.41683736,18.87840634,18.40119876,17.84193027,17.00476486,16.86167349,16.29624679,15.88744863,15.40875496,15.30739497,14.91920968,14.65947108,14.41725782,13.97725253,13.4187807,12.89814834,12.93571314,12.88089704,12.43485942,12.39589298,12.44807604,12.07850312,11.86233032,11.71967233,11.7072894,11.75489541,11.46940194,11.33762453,11.21402898,11.29179681,11.12773834,11.1681632,11.11280512,11.12610603,11.02993717,10.77687961,10.67333117,10.70543946,10.5373897,10.51236725,10.45368307,10.34800778,10.37175126,10.16742659,10.15653612,10.31153113,9.962589286,9.96318569,9.842840993,9.9110945,9.739519997,9.880346379,9.829058978,9.663153674,9.719208212,9.442044421,9.395866141,9.371737013,9.500266327,9.43283967,9.284606026,9.177422185,9.031343849,9.00278575,8.915343202,8.974115493,8.561887481,8.466480072,8.337568953,8.099313017,7.945104137,7.759700243,7.523371225,7.179713401,6.952798709,6.514485982,6.055923095,5.753096731,5.399973456,5.433433573,5.041431265,4.991856088,4.552634924,4.453471312,4.262083195,4.109377235,4.109913408,3.938537285,3.833169988,3.748370363,3.65839778,3.482489739,3.447226918,3.394350049,3.205552738,3.219871232,3.246369734,3.215383759,3.394802445,3.525001643,3.609526786,3.536781708,3.583595694,3.793837456,3.692049181,3.643046539,3.854730606,3.894373052,4.146516912,4.221835537,7.425155278,8.936391974,8.759746126,9.660664743,9.531760529,9.359351043,9.300305654,8.810158681,8.606750675,8.716106551
ALE2,0.950467543,0.954907002,0.957072128,0.95337791,0.949670587,0.951654765,0.953679938,0.953291498,0.955009371,0.952428737,0.951208185,0.950393299,0.953876146,0.952365065,0.953207169,0.980334686,1.18510603,1.729766574,2.758088546,4.241867195,6.594265184,9.367365321,12.71340849,16.52919285,20.45490812,22.05762094,21.92483725,20.91002116,20.3195546,19.46541094,18.80746304,18.20518001,17.5338152,16.92185486,16.38273081,16.02865287,15.45219519,15.06032125,14.66039724,14.34178342,14.00133222,13.684204,13.57017708,12.98613909,12.64474271,12.45212453,12.22932825,12.08735581,11.74061314,11.68971449,11.51949265,11.35834676,11.14807523,10.98892346,10.94871304,10.82336403,10.68955793,10.46083072,10.44986571,10.333176,10.17110907,10.10343437,9.838874797,9.842627451,9.625562249,9.874253938,9.748815617,9.762928933,9.623779282,9.671708386,9.571879958,9.474665234,9.43183463,9.255444271,9.307661695,9.243467822,8.989827678,8.961404034,8.971241598,8.885119087,8.83963541,8.839375026,8.767386803,8.660338102,8.729065193,8.504773285,8.471211791,8.448480818,8.339362405,8.249576741,8.187308494,8.183343593,8.02642,8.239346081,8.219871472,8.186436273,8.229901595,8.139247166,8.26135932,8.182605925,8.249163097,8.193714927,8.184881279,8.007553222,8.033499538,7.866575775,7.833556869,7.897593319,7.708573509,7.806729633,7.617890468,7.054201411,7.672955574,7.912830769,7.821931104,7.898461595,7.433806892,7.812533419,7.873525729,8.159240684,8.482169792,8.373860148,8.363802428,8.512755146,8.36607808,9.368708622,9.327864942,9.35692911,9.376643112,9.310571003,9.279256073,9.200264327,9.279570514,9.219261153,9.042718484,9.008370145,9.065221551,9.172495936,9.163221913,9.607001904,9.572351383,9.538834267,9.682873439,9.874536934,9.895832023,9.063042489,9.052019367,8.877335508,9.064404613,8.935948717
ALE2,0.933186639,0.939049033,0.935934827,0.940411295,0.934492907,0.941102243,0.931182382,0.935198415,0.930090941,0.931225274,0.922197242,0.924134274,0.917625965,0.922089448,0.930431247,0.976958307,1.235349691,1.871896968,3.176550192,4.952690985,7.595955207,10.63412402,14.16175346,17.94746282,21.123628,22.76506778,23.0122096,22.21562046,21.55100121,20.78767067,20.08222236,19.44453001,18.77593572,18.12340482,17.42571014,17.06620427,16.4173014,15.98048905,15.65812413,15.37794792,14.99016404,14.6989922,14.56777643,13.95794171,13.62786307,13.3831015,13.1811892,13.01342621,12.71453643,12.59727784,12.38099509,12.25592049,12.0553377,11.92700064,11.83899872,11.70863461,11.61925096,11.39087948,11.36140717,11.21724708,11.07618316,11.01291357,10.87756634,10.83161656,10.69424713,10.66064634,10.559436,10.51917647,10.39412266,10.40070812,10.312335,10.23889793,10.15950666,10.02827203,10.00375495,9.938840962,9.760735545,9.834355784,9.852535135,9.811730906,9.739248333,9.578843218,9.663167846,9.604615187,9.620778585,9.532209584,9.550332374,9.623779125,9.597590203,9.488410494,9.445857731,9.462323467,9.389007088,9.427663354,9.39377971,9.267778399,9.325087843,9.304330265,9.294928514,9.214656349,9.073051109,9.045732197,9.094991341,8.924236025,9.14061671,9.037258854,9.07195172,9.148876505,9.046699322,9.338181037,9.249478291,9.341289659,9.200018992,9.34576505,9.365088601,9.439564031,9.42715835,9.452509136,9.332140837,9.3164209,9.446897495,9.268490577,9.139558243,9.258298414,8.957962499,8.921080598,8.745457041,8.622019147,8.466256153,8.215810051,8.143158891,7.760193421,7.408363435,7.064156615,6.739617912,6.367013424,6.310946727,6.480041333,6.631981359,7.151838851,7.268837668,7.365115558,9.001648393,9.400340858,9.397799772,9.127366551,9.131530199,8.362204921,8.043176306,7.799917046
ALE2,0.845044991,0.848962006,0.853725926,0.857260315,0.85949663,0.863096191,0.864252063,0.86209074,0.865046554,0.86990012,0.861582715,0.869557967,0.871400715,0.868449475,0.867904918,0.90771728,1.123855358,1.641590775,2.681677287,4.156261482,6.381737252,9.040716578,12.11700579,15.55907513,18.83142899,20.41324855,20.63974684,19.98911812,19.29664136,18.4774201,17.84920883,17.13615618,16.5889624,16.0602752,15.25398935,15.04043667,14.48435907,14.14321877,13.71626184,13.46729942,13.11644591,12.83728308,12.62321536,12.08157189,11.73529671,11.46881127,11.35379255,11.19353178,10.91292188,10.81516339,10.60213574,10.47463501,10.28171047,10.11977064,10.07754579,9.942195417,9.811901028,9.636591616,9.617914582,9.524709481,9.329238094,9.293510243,9.143904755,9.056856939,8.930600006,8.809029214,8.695845181,8.724919746,8.561518476,8.564328765,8.507091198,8.392643921,8.417860525,8.232702005,8.267422786,8.279504192,8.069943877,8.051594829,8.032194678,7.921768855,7.808414089,7.958426851,8.031425412,7.931169387,7.968932472,7.856898644,7.837675935,7.800166749,7.769317031,7.655481129,7.508972969,7.457952995,7.282066413,7.133924333,7.100908815,7.016936076,6.760897617,6.743049516,6.67027284,6.59270214,6.521622989,6.401609322,6.31054584,6.19648753,6.202913415,5.927535633,5.616359074,5.542005712,5.33857092,5.390371931,5.100632299,5.12784783,4.816407604,5.429820774,5.32574251,5.237640198,5.344097689,5.163065505,4.931103119,4.940455671,4.801250523,4.514256321,4.163846582,4.035870157,3.67397019,3.658705705,3.944697124,3.864533205,4.22124076,4.343994478,4.294231922,4.186646136,4.251029376,4.38038076,4.286168535,4.155137843,4.246573144,4.206578461,4.240046963,4.184122334,3.891157421,3.863312602,3.744843611,5.207193776,5.181340454,4.922846765,5.023213708,4.710282983,4.717283566,4.531667844
ALE2,0.921074312,0.928881699,0.936996247,0.932648389,0.937656569,0.942018067,0.948828311,0.945089046,0.949624172,0.951144948,0.949165672,0.957267678,0.95669606,0.957039763,0.963145317,1.059156134,1.382815025,2.087341377,3.283991585,4.954035823,7.375418089,9.745645905,12.46305224,14.86075428,18.50410508,20.05743965,20.6811226,20.58057166,20.23249809,19.50753834,19.20838037,18.78483161,18.34976827,17.81240713,17.27282737,17.05281362,16.54673777,16.17235751,15.9299649,15.7057101,15.28352316,15.11396149,14.89703818,14.33885751,14.09627119,13.78547094,13.7954042,13.6300449,13.40817777,13.29052836,13.23802684,12.95220618,12.78857857,12.70472384,12.56152841,12.49548879,12.32510583,12.27152152,12.11330759,12.06258528,12.01568921,11.94840763,11.89570351,11.88176704,11.77919595,11.60704686,11.55618864,11.45081909,11.41156834,11.26809012,11.23989623,11.17289974,11.13849399,11.09561693,11.03926728,11.07678843,10.98163742,10.97599678,10.85124988,10.84190617,10.73924882,10.74098206,10.75876179,10.6080499,10.61813452,10.48646224,10.4878475,10.39092723,10.33022008,10.2750745,10.24220426,10.15476568,10.05959247,10.05320572,9.940965343,9.866558376,9.689233571,9.677469061,9.644558908,9.567067484,9.427364819,9.527948912,9.460531179,9.364328539,9.071496734,9.344925043,9.488890554,9.575061035,9.399095897,9.778639616,9.615298757,9.776233257,9.781211125,9.895501261,9.766243871,9.68832821,10.01168322,10.21465186,10.29440818,10.31372602,10.39436204,10.18967418,10.16771034,10.27859413,10.05942683,10.08624613,9.955869424,9.861930026,9.991489261,9.964372384,9.834410952,9.576681168,9.539004966,9.611577702,9.280953703,9.135595617,9.789150586,9.855358096,9.488088104,9.390623661,8.861000072,8.743199328,8.318616312,8.234786432,7.767145615,7.285912782,7.38473354,6.876328319,6.774102762,6.43000599
ALE3,0.893339911,0.889744419,0.896398364,0.898441452,0.900626163,0.902570474,0.901840358,0.898042766,0.899385478,0.897816566,0.896070143,0.89769222,0.899604014,0.899880479,0.905033414,0.944549916,1.107935349,1.476145143,2.286997519,3.320795335,5.057751233,7.229498056,9.985057901,12.77825836,16.60797551,18.50481508,20.96657914,22.17082587,22.28203787,21.98802142,21.47809974,20.88623122,20.20090774,19.72944739,19.22774386,18.72797572,18.31237263,17.56045558,17.26931274,16.94708469,16.46930729,16.17608914,15.84846262,15.24043038,14.97572114,14.64631693,14.44916137,14.1787186,13.84184125,13.64648634,13.44140133,13.17019611,12.97195805,12.80042276,12.69829788,12.50344059,12.30190102,12.1369126,12.02944428,11.87138321,11.8039882,11.66798309,11.59392789,11.43729315,11.39405298,11.30165319,11.1936911,11.10474843,11.10698421,10.96598373,10.91786019,10.85836428,10.77750948,10.70489477,10.68085024,10.66092949,10.59617459,10.53551206,10.44007553,10.34958594,10.37713719,10.28335138,10.32877893,10.23432957,10.17645689,10.11214161,10.11051117,10.12199238,10.05986411,10.07127116,9.977192969,10.01364627,9.912602591,9.874875063,9.726291243,9.759348991,9.592742629,9.579111629,9.478304381,9.518970696,9.366964091,9.353471727,9.25506895,9.204279017,9.1636895,9.119316853,9.115790204,9.079729776,9.077822395,9.038581935,9.000398995,8.953662001,8.920913027,8.944110507,8.874031109,8.791541947,8.895623555,8.828248909,8.617863079,8.28041894,7.877843506,7.473103759,7.128131092,6.88499883,6.810208728,7.250973845,7.505489569,7.938087295,8.197310913,8.555881468,8.754571249,9.024353241,9.258516709,9.363369902,9.573789812,9.718540765,9.890824231,14.70889731,14.57849284,14.63489095,14.67342785,14.66991031,14.65078552,14.87555141,14.96804709,14.83636741,14.86833979,14.91602755,14.79168733,14.78362023
