,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
MG,0.11886198204255327,0.006370281,0.068385257,-0.05582964,-0.012547452,-0.010897941,-0.033939453,-0.024047382,0.013418194714244122,0.028262134057026267,-0.0083337,-0.151876209,-0.075272218,-0.117334767,-0.094541515,0.040421868,0.070171395,0.001185149,-0.00082259,0.23836660718808483,0.23958624615978624,-0.323502073,-1.043407305,-2.252549384,-2.403669651,-2.095257611,-3.227719055,-3.081250745,-3.043436938,-3.098029112,-1.455851883,-0.728053987,4.660134375633543,-2.670014143,-15.04035737,-20.80173859,-19.69145225,-17.47486172,-22.46281856,-24.07922175,-24.64066056,-38.99466993,-33.04949477,-39.40755437,-28.11550696,-25.4743871,-26.2350486,-27.89011201,-20.63578272,-7.687059035,-11.55991762,-11.46845303,-11.88102257,-12.36993118,-14.69835527,-20.04373297,-19.53347235,-17.96763086,-19.78129232,-17.85683032,-17.82372012,-29.38989639,-32.79434863,-45.66939413,-38.69149134,-42.77411283,-37.72062039,-40.10654913,-44.72493036,-37.91488622,-33.59322382,-35.69782583,-37.82667233,-36.88586749,-30.60609638,-29.1819796,-28.4896862,-36.24548205,-31.6217624,-33.05799059,-27.92313391,-31.28276775,-39.5683951,-33.13770533,-26.54479191,-35.94304658,-35.64875036,-38.82840581,-39.65330663,-34.71304401,-30.6229264,-32.40289117,-31.31576631,-26.72551675,-26.57383165,-23.45054618,-21.36366392,-26.45338064,-21.66219889,-20.57304129,-18.01133959,-16.73323126,-17.50618912,-17.57268943,-10.22515606,-10.74424574,-8.71384676,-2.310447246,-0.055418096,4.141379600161773,8.540857300077906,14.344650971677693,9.144788528927414,8.566976235215117,7.761689610065729,-7.154929885,-4.890000332,-5.272692051,-4.802812808,-4.684642788,-4.995617402,-4.689068144,-4.545294036,-4.068875062,-3.363780446,-3.825370476,-3.752378749,-2.890438894,-2.488446222,-2.475320108,-2.201692772,-2.389433865,-1.855326967,-1.691055593,-1.372035027,-1.377541731,-1.569105025,-0.970697162,-0.848573312,-0.826128289,-0.685553234,-1.860965298,-1.427418633,-1.341242476,-1.159179702,-0.849363078,-0.802760206,-1.435149678,-1.516958795,-1.241338715
MG,-0.167243994,-0.219140298,-0.303002141,-0.322821274,-0.164253212,-0.270838328,-0.19268313,-0.227964353,-0.176676202,-0.148876097,-0.216689357,-0.352087611,-0.214141778,-0.398522199,-0.417929788,-0.296295793,-0.142502984,0.6775009512972044,1.3366574994324314,2.2175100894502853,3.7822135844334603,5.632730808333601,5.490801154608594,7.5587156928681445,7.165933627908242,6.380722726761673,8.169130003,7.287995829312753,8.013752662935639,9.099689545453758,8.514752694032435,12.547252357342199,19.449179301177153,27.084614117564467,21.72206316596832,28.98645282,29.266624881922905,30.685664828460315,45.01199072458815,44.50317967231739,35.59247901713635,51.65835831716763,46.54235438458932,57.323794610937675,58.32036961235002,48.047898724750986,53.07169828430315,54.466851968137874,60.137809960749784,47.67750836490139,47.13466405,35.96648830573805,30.043216667768053,26.359933631995837,23.09993196634343,18.149264092236706,16.361058423341767,14.767955001756526,16.33094733659773,20.247552972646773,19.759697383964966,47.643070225685335,30.254117571812344,31.970192925510467,32.268832857711836,7.645251743788116,-6.09989119,-7.37553525,-12.45302058,-13.29985658,-14.19898209,-14.44537416,-16.43130296,-18.48455851,-16.40254481,-13.81778493,-13.4698296,-20.813894,-18.83471152,-20.36152624,-18.19221838,-21.179869,-21.37219873,-16.76912796,-18.92374517,-24.07942902,-23.53915229,-26.60352186,-26.28445464,-22.5907297,-20.94347564,-20.92125388,-20.24227487,-17.39176366,-16.6508663,-14.34548539,-12.61664382,-16.60656608,-13.10697534,-12.41079475,-10.2390976,-9.041578747,-8.708943878,-8.397649358,-6.040492106,-4.80183543,-3.886772967,-0.389313258,0.031445525067048716,-0.053569309,0.21007931391183926,-0.312894213,-0.382781858,-0.685502249,-0.709913357,2.6372075204606116,-2.205638937,-3.199869632,-2.37774799,-2.193557513,-2.101198186,-1.678736573,-1.267268373,-0.465519034,-0.481317691,0.4909878281666386,0.6752932714645474,0.3818951209639706,1.0731888227689252,1.1633321392267857,1.276020448753139,1.3191976677596249,1.5830112423290683,1.6225062179920275,1.9501642271485833,2.0939999833102427,3.6488264020307635,3.332318425659233,3.9895905316127727,4.3312077420055894,4.057212181430563,3.916933705603046,3.3300357680209385,3.6941563171457745,3.598154735,3.506730130959898,2.9672131680203506,2.905028242198009,2.5801977294007177,2.005322899495957
MG,-0.100275151,-0.104039036,-0.095954763,-0.219929731,-0.221194357,-0.097234384,-0.216540735,-0.249609279,-0.241761602,-0.169774578,-0.172793684,-0.268203775,-0.139388573,-0.169374696,-0.134971547,-0.098125787,0.1889608985586117,0.539357177,0.8457781391579465,1.1250754636782703,1.7090825903096867,2.405621406162348,2.223330366575908,2.9605321456860074,2.528015176,2.3238589422013045,2.481882165363055,3.0537845418176466,3.5642984233631108,4.404867938,4.933054921093059,5.301692466,10.601760247188919,11.70010345727986,8.943461124341633,9.503168777252643,7.908709090472105,8.069494829228232,8.141506846109467,6.008483247607712,6.1170861,3.3454482057477923,3.614890114260426,3.1641085512062195,5.578650483448632,5.930448013673585,5.374059378,1.6918093700642471,9.263444738547822,15.89662456820239,12.311214227562527,13.485078415838561,13.099047685732959,15.154572558154255,14.972419810964887,15.546783125617848,18.02299513608389,16.84434236528781,18.93767105,15.775745349953484,22.17450457102199,17.926775285022472,21.70747615057286,23.947583051086184,22.57845,26.689576386976306,28.348393689769207,26.093532823279862,23.13800602928088,18.10463596938247,15.582284283500519,12.776143269453803,11.733028710995503,8.860522342,9.001990466,10.025239237907046,11.522227777358733,5.306975902501472,8.158606784315216,6.778175409160763,10.860370362047123,6.203467196601852,1.4174305895937447,1.4888961015805628,0.054425723,-7.175084253,-8.496856325,-12.29546189,-13.55715341,-11.87764557,-10.49499318,-12.64176938,-13.97750065,-10.94741593,-12.29132811,-11.47526635,-10.60394427,-17.01746912,-13.618222,-14.85394955,-14.51873544,-13.75183579,-15.43736352,-17.24506841,-13.50005532,-15.34392617,-14.8481396,-9.294621843,-11.15776033,-9.809746027,-9.951030871,-10.00130432,-8.001684569,-7.369734967,-7.002155442,-5.554738895,-5.605417227,-6.214695206,-4.72351828,-4.571291674,-5.233642277,-5.117889874,-5.479646123,-5.244755654,-3.841347747,-5.1657757,-5.258175015,-4.412283743,-4.355242294,-4.642027402,-3.739826132,-4.006423882,-3.744716351,-3.120581103,-2.541384219,-2.43481743,-4.81006766,-3.356606236,-3.068478192,-3.357914182,-2.924585786,-3.60803681,-2.141835823,-3.382426926,-3.144220772,-2.700110567,-2.193763785,-3.036717594,-4.221160317,-4.059466514
MG,0.22551374512834985,0.42317023635011225,0.2207035023533302,0.205083126,0.28170211267314554,0.24052430181698933,0.2820236841506528,0.1823215305607327,0.20856376253387954,0.051232001,-0.164697414,-0.2693581,-0.48377463,-0.502164186,-0.599695316,-0.467691058,-0.354006376,-0.145541418,0.10113722878982649,0.5649532668107611,0.9714795966307455,1.0686891547265929,1.4196935863852338,0.8798733798762265,-0.473984195,-1.519251449,-4.505110931,-4.637693352,-6.109552663,-6.696214004,-5.385791905,-6.372926368,-0.125725617,-1.413835987,-2.390018691,-5.038987897,-5.907622437,-6.318520806,-11.50445904,-14.14745168,-12.15396677,-22.46670574,-19.41080866,-24.8893686,-17.17440899,-17.18003899,-21.90199457,-27.6991652,-27.12151286,-13.42461065,-22.03470695,-21.88499294,-27.07701437,-27.06741721,-35.29140281,-42.6539434,-42.86348304,-41.57421302,-44.55666184,-49.29578733,-41.11544882,-38.89966472,-35.57401582,-35.5764451,-30.7969049,-34.21626939,-28.00126744,-31.13204236,-36.67075117,-31.91615192,-30.03784626,-31.92943132,-35.59251701,-37.00730821,-33.57470764,-29.69687719,-29.62773266,-38.90134588,-34.25912504,-36.14829915,-31.25991618,-33.42670311,-35.46491311,-31.26825537,-29.05700493,-31.58815901,-31.06553038,-34.16237035,-33.13929819,-30.36567422,-23.77976206,-26.45514178,-26.13061785,-20.67507775,-22.57771788,-19.99600543,-17.92689125,-23.53385485,-18.39821507,-17.28154561,-15.08614881,-13.6879427,-14.58815622,-14.59564734,-6.815415386,-9.322063387,-8.431073797,-3.694340929,-5.042578501,-4.37016421,-4.460717406,-4.792280925,-3.653139792,-3.295802235,-3.645677001,-3.506873089,-0.044764582,-0.258732912,0.32087385068512037,0.26020347653666026,-0.051397619,0.1915971182048235,0.085578501,0.2898513670592127,0.9507590634994416,0.8027828662931346,0.940568747,0.9908955159439611,1.1766455316304845,0.3801446391283562,0.578607558,-0.157237956,0.1196517482619316,0.055604041,-1.547406448,-1.938972207,-2.271973634,-2.089869206,-1.198466406,-1.087034391,-0.839197754,-1.262112566,-1.253626744,-1.192136613,-0.868769,-0.60176637,-0.791266942,-1.108323089,-0.563397727,-0.520188851
MG,0.11726312199166916,0.092638744,-0.09872461,-0.157772131,-0.077714162,0.025758541818115266,-0.04170982,-0.063181797,-0.093829392,-0.090102162,-0.055359113,-0.137679745,-0.1595666,-0.139927413,-0.12997036,0.030292199799002675,0.15336077,0.3188784413510941,0.2840404205049627,0.22330506559161029,-0.007006759,-0.647725432,-0.413593071,-1.165710435,-1.800634157,-1.622063682,-2.907813085,-1.811625903,-1.312348695,-0.763292889,1.7850427718184565,2.389050644647055,10.480758731808166,13.288355981457677,12.632798367993072,15.512699214879095,16.440692850561465,17.797911097090527,20.571723347519757,23.844619529568384,20.507095811407094,26.02053876376212,21.98482838419761,27.735051246756083,30.654497054508806,25.757608261125746,24.038963667954427,22.896348562894676,3.961256919,-33.7755092,-48.50588715,-43.63523726,-49.12579699,-45.13579141,-50.29795001,-56.44678322,-51.19953813,-44.02165121,-47.258718,-41.64608108,-34.03817311,-30.0861163,-28.43378541,-29.01666954,-25.03097435,-29.68390703,-22.12438307,-25.48520989,-30.08715599,-25.46992942,-23.97656314,-25.65992984,-28.21433037,-29.361934,-29.38275117,-26.03587023,-26.08915612,-36.05639069,-32.97025589,-35.93812404,-31.14588593,-33.32032394,-34.6825607,-30.60882657,-28.63651873,-32.07148528,-31.85519263,-34.61088025,-32.72054481,-27.03655568,-19.21654216,-19.54064456,-19.00828881,-13.7178865,-16.94260195,-14.31682254,-12.36644654,-16.18307344,-12.39222225,-10.92405684,-8.735311406,-7.281948286,-7.301062628,-6.499539889,0.1788049048589847,-5.556154143,-4.453613842,-0.7337533,-1.139536516,-0.025412977,0.254164264,0.3669225530301896,0.6897719855851989,1.0225434810862377,1.1938744316619245,1.6536899872087265,4.866485626431726,4.895911916,4.9063005073987345,4.788846941780748,5.212094988431377,5.367595624976785,5.627135464624887,5.4824982790296355,5.271943939064747,5.3841307303800585,5.093896643277399,5.000186049,5.014893362563823,4.854124285542279,4.904844271795909,5.007643842,5.200478427077936,5.318230237745011,6.928108693711558,2.897486807889647,0.948057197,0.046895618,0.450056278,0.159993807,0.8214013549890499,0.2433591293394697,1.7733678943939595,0.8864987520170502,0.6599091586864826,0.7014185380609028,1.0884139825990298,0.693487552,1.1605159728470373,1.560912451
MG,-0.020927972,-0.005190963,-0.099782963,-0.132198368,0.031434862,-0.015541233,-0.051912133,0.001540377,-0.1722915,-0.040815418,0.028370769,-0.02050643,-0.040913722,-0.164445489,0.022619138,-0.013353547,0.13921295790073604,0.2654755825944015,0.1796659833023958,0.10956006885780899,-2.206321068,-4.181578034,-4.413734313,-6.462374557,-7.336120917,-6.62733406,-8.574860901,-6.348141704,-5.398251217,-5.777067416,-4.021843651,-5.034890443,2.344681778382973,1.1481576310698187,2.4588179926448572,-0.565959969,-0.147815411,0.43876428698396314,-4.245095899,-5.930105448,-3.379878681,-13.59016797,-9.091231383,-13.16206137,-3.857212384,-3.359404741,-6.691891617,-10.29219255,-32.89594489,-25.24503965,-38.62926942,-35.00131834,-40.7193574,-37.67301915,-42.47035241,-46.0079719,-44.69092343,-38.55580783,-32.74408651,-24.55295952,-16.98232052,-11.08514616,-8.514580412,-8.494189781,-5.152117409,-7.929445286,-0.627738348,-3.877864604,-7.849757208,-4.33293823,-1.350506067,-3.131630498,-3.186757513,-2.846774819,-0.74649986,0.6846548336590969,1.3862121639690903,-3.194230301,-1.109532398,-2.968222203,1.649254300227219,0.11142784930491852,-0.91757422,2.078212323320501,3.177192011672639,2.211134643328237,1.861661425078067,0.6653788729164074,6.346325575412702,7.982992768246812,11.806895845405561,11.315682917204663,12.058856261990424,15.351569911155805,15.197172281439995,15.922167673792293,16.28214778187249,15.548808192839454,15.42488487568168,17.15052073268533,17.910782352462636,18.40974798576645,18.448149951640563,18.779305258886758,19.602729848306605,16.83306636978932,14.66916024623217,-3.097578911,-4.883326975,-3.656396828,-3.718318498,-4.119474751,-2.296229454,-1.937772229,-2.084120574,-2.538354449,1.1950204257667552,0.9861172636993578,1.9619000865216696,2.1438645561102203,1.8602951628420066,1.9127329739314631,1.7242587646401213,2.3957933153993736,3.2644261892717648,3.065598378108596,3.503415445481337,4.890879738804583,6.553365955553367,7.268137707563624,9.035509544,9.710366444167805,9.673895573,9.728199498695341,10.850195707204751,9.925827664968306,3.4318099749239925,-0.272228584,-0.521848026,-0.628124901,-0.311175388,-1.315771349,-0.134059483,-1.109409101,-1.10360082,-0.768978206,-0.164633766,-0.871574503,-0.322210455,0.1811155542113849
MG,-0.088244459,-0.084853041,-0.038671533,-0.157953405,0.025194871841794232,-0.140524496,-0.068628779,-0.007094706,-0.181017389,0.13785118157332282,0.11009409101673882,0.072843707,0.046092163,0.10712931919840143,-0.130107639,-0.160359354,-0.255670411,-0.084914947,0.17453270377720081,0.7243021208293765,1.445250302,1.9854394233729686,2.9996088910783496,3.4038418089102667,3.737987654806385,3.600599258721189,3.483105953884224,2.666545554982726,2.1475264433759604,0.5782235301479834,-0.991534472,-1.937208007,-2.203015193,-4.143997093,-8.294468499,-9.469199099,-14.71404776,-15.60287698,-14.81820628,-17.30591419,-19.3675265,-23.77297665,-20.53481004,-23.98406773,-26.5379727,-31.57329967,-36.17401484,-38.5647804,-38.6337699,-41.42397154,-45.50872272,-35.69545516,-35.94250665,-43.57957648,-40.13381227,-54.76344039,-42.6661691,-44.20713944,-50.03243086,-40.93566432,-37.71693262,-47.17097759,-49.5607627,-37.36584809,-36.94288792,-33.35298259,-26.93171348,-36.53890263,-32.83658191,-23.88716888,-21.3363274,-17.58779171,-16.28754017,-17.80842461,-10.16786464,-5.949646864,-10.4731642,-12.78947584,-13.48931759,-9.77101354,-18.98739156,-15.30456104,-9.522866154,-10.06578581,-5.047979779,-29.7591839,-27.04267491,-30.41540904,-27.18030089,-24.1356191,-20.28231588,-25.95023179,-28.04818263,-25.45129014,-26.23744991,1.998585141305647,7.9219231692525724,-19.01578276,-21.168269,-21.99557921,-29.39934894,-32.99270258,-35.81267742,-28.68635311,-26.55906073,-34.89735599,-27.4531971,-31.29762274,-39.11775217,-30.30018783,-31.76810626,-35.29967151,-33.3989583,-29.61637124,-28.35926951,-27.57792832,-36.53730981,-33.06330832,-32.83077451,-35.82526097,-41.50175497,-35.52642468,-37.06456236,-32.90719602,-33.33647055,-36.23148155,-36.95396901,-36.30414189,-40.78310733,-41.51354211,-40.84549804,-40.16875876,-31.55995652,-35.88564059,-35.13142238,-35.25692659,-41.24055556,-36.47507303,-33.40035034,-34.36034412,-42.42181468,-32.09122288,-30.69779184,-30.78699768,-36.09654428,-36.43534141,-35.62870931,-38.90434883,-36.44184985,-34.7133929
MG,-0.14843535,-0.201434829,-0.224159169,-0.263880754,-0.084681044,-0.142343514,-0.090404794,-0.087363058,-0.188404557,0.010253559600174642,-0.044782109,-0.018828643,-0.011113879,-0.070046248,-0.05223252,0.055447925,0.17690652897803144,0.3793843822014142,0.36865632526055897,0.6374617457494346,0.4303895000806982,0.12608043513066441,-0.422566317,-1.105621636,-1.086397466,-1.962181357,-3.854160867,-3.683592792,-2.365898954,-6.208037436,-6.52456029,-7.963015041,-7.246378494,-7.618226467,-10.97019046,-14.9560066,-20.99627075,-20.46083162,-17.15186184,-15.92076878,-18.45657058,-22.35189258,-19.06861861,-21.65466592,-23.49508484,-25.60219435,-26.0550532,-24.99249538,-22.96699071,-22.3531926,-23.32728913,-17.03861993,-16.09538581,-17.03899137,-13.50919628,-16.33290225,-8.301437386,-6.768575132,-6.521920171,1.0233002956571484,-10.05559683,-13.691769,-14.80154902,-10.09837856,-10.6272373,-6.317889594,-2.153112997,-10.84925387,-12.5680887,-8.183326699,-7.432389483,-12.22211555,-13.28095235,-16.05927482,-10.93670962,-8.68980409,-13.15298196,-15.49977118,-16.30073641,-13.30994588,-23.28367251,-23.0287607,-17.95982908,-18.81789796,-20.29664985,-19.46623098,-19.22468406,-21.922347,-22.41012224,-20.84944594,-19.31160943,-24.74170112,-27.24951326,-26.03931749,-29.05408888,-24.40248571,-30.61300171,-21.36528612,-12.96756158,-7.126798807,-9.355067431,-7.763483555,-7.067172092,-0.385148621,7.172976633651521,-3.111721436,-3.426497551,-8.700036902,-17.12568919,-10.42730092,-10.82752671,-14.17156847,-12.6324905,-9.017229005,-6.905456505,-5.990533276,-12.08093921,-9.783329724,-10.09635408,-12.4641025,-16.02366912,-12.86277062,-14.410077,-12.09525946,-12.78530006,-15.57198647,-16.5818627,-16.8328042,-20.37816769,-21.02941696,-20.84011327,-21.04394468,-14.79188841,-18.54078716,-18.4937373,-18.90998993,-23.13038946,-20.15504017,-18.71091521,-19.62568116,-25.34972027,-18.3924097,-17.81546209,-18.21896051,-22.68289798,-23.5899408,-22.45104011,-25.38449276,-23.64527763,-22.90966454
MG,0.011604103512006447,-0.157269098,-0.209989166,-0.177458659,-0.131372519,-0.177992385,-0.203512512,-0.129343023,-0.282050522,-0.017096628,-0.217988361,-0.178783772,-0.139467083,-0.080169973,-0.155181042,-0.038077575,0.1289970210413471,0.37001021541597723,0.666761789,1.1183791893738688,1.2093635525123076,1.5073783332746522,1.8257834493361411,2.000986071079518,2.5786581402843267,2.611687238,2.683818864380318,2.8304813745676953,3.666557066070275,1.6960797016491582,1.0319222938090282,0.2195898736800722,0.9846800268436593,0.6112258575276409,-2.093065994,-0.068279097,-3.252711729,-1.408021334,-0.420969824,-0.166243724,-3.816585563,-5.562883011,-3.498752654,-5.424960889,-6.298810651,-7.14352969,-9.452563249,-13.53975384,-13.88325579,-16.74584336,-18.51967872,-13.58637203,-14.31725019,-17.1932445,-15.24151112,-28.76614268,-51.93691354,-57.34279522,-64.16514676,-62.78097645,-32.39966121,-42.11223696,-47.94071567,-33.80115168,-34.49520778,-34.18919882,-29.77283825,-43.6241886,-45.20966893,-38.45450829,-36.4120549,-32.40971333,-22.10098588,-29.53393319,-19.11575011,-13.86118731,-15.27667344,-15.66568263,-12.79481477,-7.850072292,-16.36435486,-14.30358246,-12.29433552,-11.22002903,-12.09075508,-24.70899627,-17.98590937,-18.09519936,-26.75883817,-19.81566213,-13.27891248,-15.20869952,-8.429320442,-18.20050564,-36.12786512,-31.9210848,-39.95555787,-37.3739209,-30.75107073,-21.70361611,-33.3329687,-33.51537579,-32.70418109,-24.42923859,-15.23355542,-22.37773696,-13.94295612,-15.69041137,-24.29528846,-12.619055,-12.59962169,-16.04355551,-12.25668526,-7.004468172,-2.708977262,-0.26134062,-4.819796083,-3.300241773,-3.429851826,-5.462975889,-9.073847112,-6.660526198,-8.23113582,-6.707142718,-7.63698852,-10.14508007,-11.22920276,-11.21206999,-14.64352735,-16.83937589,-17.30470452,-17.95766875,-12.46769938,-16.71790558,-16.17858313,-17.92305353,-22.92288689,-19.61798614,-17.96205735,-18.89665983,-26.28898876,-17.60821551,-16.82393465,-16.80345062,-21.57152147,-21.94936257,-20.31994272,-23.46407486,-20.97245018,-19.93963711
MG,-0.445955221,-0.49919563,-0.454754169,-0.526947701,-0.620533769,-0.561813886,-0.527837802,-0.487625993,-0.630428611,-0.460400955,-0.431780534,-0.53038764,-0.511643656,-0.322324906,-0.18367163,-0.056168037,0.24735298747511333,1.3354744384596218,2.352029777842736,3.3166129349498497,5.020981951213444,5.295332097326457,7.187341722747397,8.63807886,8.168751465733198,10.186598254376008,12.464894893270216,12.290438483846808,9.602558283624592,13.931317547406936,13.050765259263876,14.851233371989096,14.705904339871259,14.540278667274709,19.682687098037615,17.334415486367757,16.731301927168793,17.540771635908822,17.887700132308378,17.630825743329986,16.172273454110588,15.983719320453908,16.371368255067217,16.304172337590828,15.757277343780137,17.51147861954568,18.175528947591012,19.35618239937308,20.25674689728994,16.877352074779704,15.776834464426038,16.709412474742535,17.435876938177994,16.808692175733867,13.861524944906797,6.808648942170598,7.759448988866553,3.282845923985618,1.8648116252429434,6.986093547117476,32.85059564505922,31.664891038582155,32.277810764613655,28.93274338194363,28.079673792383005,25.710802705189796,26.050568567190755,24.911356669115488,24.013342008812156,23.077201922197027,20.586499125355928,20.356966892729286,19.610562163757134,17.499627897881286,18.036353657430187,17.27672624692285,16.839454193031834,15.689870612957748,15.758313006170399,16.27337853097878,14.664016062645551,15.273509235243692,16.230282259818065,16.89301417,17.03384417550473,18.696995836381863,19.13336105826076,18.75514016495463,22.064842772272375,21.43510817,19.50970304,15.910622302411323,14.967620743320454,12.875448865238544,13.885472337139264,14.98186570227156,12.949683606100796,12.959170206670766,15.043148807329192,15.150551514628683,16.488762845718348,16.05835895679022,17.03017334628947,17.571090275931457,18.626219438267075,17.178348358578305,17.36264439727014,16.738041261753594,15.209599328970018,17.00314406371313,17.217890919049324,17.04100179053795,16.909795579480264,17.78512605450536,17.852584652103335,17.82064141081907,17.366179703620112,17.927704474394435,18.025772835207167,18.32226340201551,17.972734874348617,18.641056682333126,18.646153011316578,19.771568347081445,19.44751309872279,19.490744892748804,19.555387626368102,19.47249448022372,18.990322529878416,18.913877595126763,18.386830845154076,18.465823944397464,19.00473145476528,17.866772724913464,18.12388637030834,17.298776319041316,17.104403067786347,17.201487632984417,16.98487190060473,16.86316567509136,15.983001551204428,16.87532592428758,17.086288178126548,17.240501486968643,16.46411106921078,16.463779791095636,17.03641576370156,17.13404409348257,16.435333374360074,17.316574988682117
