,merR-ALE2,arsR-ALE2,zntA-ALE1,cadC-ALE3,cadC-ALE1,cusC-ALE3,cusC-ALE2,merR-ALE5,arsR-ALE4,zntA-ALE3,cadC-ALE5,cusC-ALE5,merR-ALE4,arsR-ALE1,zntA-ALE5
1,0.2466354988290095,1.412609457060622,0.071147531,0,0,0.5471023314113611,0.4514520689132813,0.061080211,60.227779319154685,0.13817068877306568,0.060793859,4.633428270899588,0.1478401984305522,1.4785746410999465,0.20858780424436305
2,0.2466354988290095,1.412609457060622,0.09664534,0,0,0.5981444584427302,0.3848552938366289,0.32683034700277136,60.227779319154685,0.16868031054903265,0.055818919,4.633428270899588,0.1478401984305522,1.4785746410999465,0.2577179419167531
3,0.2466354988290095,1.412609457060622,0.16832782057322107,0,0,0.5485627625313493,0.38288728316154147,0.28369398406936547,60.227779319154685,0.1741182689521324,0.019979146,4.633428270899588,0.1478401984305522,1.4785746410999465,1.9610044758236058
4,0.2466354988290095,1.412609457060622,0.014837768151839107,0,0,0.37045064665179345,0,0.032253099273987215,0.10473243226004522,0,0.22168326257577778,4.633428270899588,0.1478401984305522,1.4785746410999465,0.24360419899458732
5,0.2466354988290095,1.412609457060622,0.049553729756135305,0,0,0.3760518386010543,0,0.023818524065304488,0.13041097528065218,0,0.16383629856764362,4.633428270899588,0.1478401984305522,1.4785746410999465,0.24424553455094508
6,0.2466354988290095,1.412609457060622,0.077320236,0,0.024998126350830215,0.3547666519915124,0,0.017555430366109098,0.1613441838929731,0,0.16383629856764362,4.633428270899588,0.1478401984305522,1.4785746410999465,0.4653718386918636
7,0.2466354988290095,1.412609457060622,0.069057186,0,0,0.6142414029309184,0.46587554429434874,0.059753234,60.227779319154685,0.11987482740275668,0.1361064003438082,4.633428270899588,0.1478401984305522,1.4785746410999465,0.37737618636106385
8,0.2466354988290095,1.412609457060622,0.092883971,0,0,0.5195872731962796,0.5295152395407596,0.1459604807616435,60.227779319154685,0.14060625046954725,0,4.633428270899588,0.1478401984305522,1.4785746410999465,0.3983137084450834
9,0.2466354988290095,1.412609457060622,0.13271805861537486,0,0,0.6579559491919297,0.4743450835332139,0.28369398406936547,60.227779319154685,0.27051274062864594,0.036044509,4.633428270899588,0.1478401984305522,1.4785746410999465,1.9610044758236058
10,0.2466354988290095,1.412609457060622,0.016589386,0,0.030383137,0.38958484802857424,0,0.032136777,0.7762291213655934,0,0.15874923317613698,4.633428270899588,0.1478401984305522,1.4785746410999465,0.17999334464617683
11,0.2466354988290095,1.412609457060622,0.04076435,0,0,0.4527519156090907,0,0.022614319957452923,0.1275060216492638,0,0.045967461,4.633428270899588,0.1478401984305522,1.4785746410999465,0.21300270397470947
12,0.2466354988290095,1.412609457060622,0.085345451,0,0,0.3370745753387558,0,0.018563422,0.045116538,0,0.075784003,4.633428270899588,0.1478401984305522,1.4785746410999465,0.4370351130337421
13,0.2466354988290095,1.412609457060622,0.06819482,0,0,0.502789925,0.4337503180075636,0.045815849,60.227779319154685,0.11909414306272624,0.090674245,4.633428270899588,0.1478401984305522,1.4785746410999465,0.22041961215150346
14,0.2466354988290095,1.412609457060622,0.089008328,0,0,0.47649700234987274,0.43252159602392987,0.070554366,60.227779319154685,0.16489690809860647,0,4.633428270899588,0.062777378,1.4785746410999465,0.26182751156973705
