positions,sensor,condition,hm
A1,cusC,0,Cu
A2,cusC,0,Cu
A3,cusC,0,Cu
A4,cusC,10,Cu
A5,cusC,10,Cu
A6,cusC,10,Cu
A7,cusC,50,Cu
A8,cusC,50,Cu
A9,cusC,50,Cu
A10,cusC,100,Cu
A11,cusC,100,Cu
A12,cusC,100,Cu
B1,cadC,0,Cd
B2,cadC,0,Cd
B3,cadC,0,Cd
B4,cadC,5,Cd
B5,cadC,5,Cd
B6,cadC,5,Cd
C1,zntA,0,Pb
C2,zntA,0,Pb
C3,zntA,0,Pb
D1,zraP,0,Pb
D2,zraP,0,Pb
D3,zraP,0,Pb
D7,zraP,50,Pb
D8,zraP,50,Pb
D9,zraP,50,Pb
F1,merR,0,Hg
F2,merR,0,Hg
F3,merR,0,Hg
