,ppm,hm,sensor,strain,max
1606,0.3,Cd,cadC,MG,0.8083041031079208
1607,0.3,Cd,cadC,MG,0.8033209803239083
1608,0.4,Cd,cadC,MG,0.809786314
1609,0.4,Cd,cadC,MG,0.8041846153846153
1610,0.4,Cd,cadC,MG,0.8497191011235955
1611,0.6,Cd,cadC,MG,0.8217491664529367
1612,0.6,Cd,cadC,MG,0.868921776
1613,0.6,Cd,cadC,MG,0.8000274445228572
1614,1,Cd,cadC,MG,0.8987403100775192
1615,1,Cd,cadC,MG,0.8989711587114184
1616,1,Cd,cadC,MG,0.7677694645779752
1617,2,Cd,cadC,MG,1.0202479707430203
1618,2,Cd,cadC,MG,0.9213813372520206
1619,2,Cd,cadC,MG,0.9024179620034541
