,As,Cd,Hg,Pb,Cu,0
arsR,3.3374256079120723,1.244219039967879,1.2543074830829917,1.1898054307451644,1.2872842330918828,1.362209710249003
zntA,1.8785084093253268,17.572859960815748,6.4073700317770115,6.226444213560032,5.140802399660151,4.7165101793960424
zraP,1.522727779684414,1.6300430817797218,2.7114248201238826,2.0168967371571793,2.774608527007431,1.5647810312676587
cusC,1.8176766039608914,1.5697154974442113,1.6178894763563831,1.0799376757672428,1.3452012306382417,1.0
merR,1.0562575778549197,22.524005644150076,352.50547510634374,1.0,0.6942230950976824,1.0496067086021237
