Slice,zraP_mean,zraP_std,arsR_mean,arsR_std,zntA_mean,zntA_std,merR_mean,merR_std,U139_mean,U139_std,cusC_mean,cusC_std,cadC_mean,cadC_std
1,11.736140675440723,2.4164639921108924,25.441082825271735,6.389836421186583,15.75107441308929,8.556717335,9.579515551265871,1.2480541248698416,17.74171592261382,2.691940306840692,26.735365120736407,4.285692408231598,9.032013266,0.901115616
2,9.899438283510435,2.212187387200472,24.328623404977627,6.042305246512572,15.749596516714284,8.604043881390274,7.298162723,0.7023962039466692,17.726885313368527,3.6576726993837294,26.303965961067085,4.518472278351804,9.024340639149054,0.886931935
3,10.241202280254317,2.1393301890663166,25.011659853505346,5.775364476945081,16.091599849062113,9.033782913516031,8.405650896127177,1.1675213163333613,17.68763308693811,3.1513280318004737,25.449036748758797,4.082998193265491,9.148069531999242,0.950684323
4,9.637321886742233,2.682289444486198,22.857692649265907,6.521691954543035,15.692700744637227,8.487380412503974,6.3207967178665925,1.406611831688425,17.771094855821513,3.4495936700555028,25.66185539177209,4.694975069762193,9.254951255524963,1.000166389
5,9.372859347403123,2.5184233274734913,23.601768645173873,6.737388905,15.609541244884204,8.598927782958858,6.7019381978809385,1.7402831707008206,17.76454715369814,3.6116669851771936,24.405814600327247,4.241381244623064,9.356303543321424,1.08783102
6,11.278669085219802,2.3247932979756865,25.10344384814348,6.615160207869833,16.044145967159455,8.944074540445577,8.176436341738004,1.7422565501716187,17.79961629,4.006014596050873,24.495024832474428,4.177987463961983,9.443890628217613,1.179580819
7,11.945982089293599,2.669309794947214,23.810706185952114,7.338566667367332,15.83546051289291,8.592764888228173,8.146945739350002,1.6951878597505001,17.628889553397034,1.3879262045579532,25.83411320567776,4.130876514299966,9.024340639149054,1.24167993
8,9.821587749797603,2.16667568,23.88838826769087,6.779989222244447,15.20103614814991,8.455126697377027,7.209269793273916,1.647037234428723,17.68384132751075,2.325343198452512,24.634586652889283,3.9932249792561856,9.148069531999242,1.261638545
9,8.460058522489362,2.3284337414658345,24.40648504133194,6.937411172687269,15.442427010717157,8.427299533134498,7.761566061246798,0.9018023281192753,17.71381812532232,4.119372396356986,24.924324190675556,3.8090520600744413,9.254951255524963,1.000166389
10,11.053971057950694,2.6677766372479215,24.845041994503752,6.667046786,15.352360383018102,8.325368169678896,8.291802025762419,1.0791550179039622,17.68276603218252,2.5382324090733595,26.17941336566364,4.203185352054659,9.356303543321424,1.08783102
11,11.126090270332416,2.136934909481431,24.080602702499394,7.002356488849419,15.509757084411728,8.490555523071263,8.551166087870321,1.4486118986367542,17.773335473849336,3.0510042395653176,25.40009757075877,4.224166480692813,9.443890628217613,1.179580819
12,10.853579777007752,2.975585254088179,23.527621969128894,8.019517905562935,15.575515781283144,8.408382948,8.494800661,1.3079552731116388,17.636575644363187,1.8884384762574278,25.61845823905812,4.244422832824416,9.495507255887045,1.24167993
13,10.885154042648686,1.932073826116199,23.81636719224033,7.626893347,15.441374906534852,8.398442144769069,7.968030823,1.3322445511695178,17.817684891190495,3.6414787184698194,24.865537640106066,3.9015666961531736,9.572092543,1.261638545
14,9.751591711,2.5413262107044825,24.10001667212519,7.420413736309993,14.995357026654602,7.8942697446569605,7.424198082332148,1.8077292216740568,17.793221643918002,4.118251949,25.060595984534576,3.5980623885579517,9.254951255524963,0.886931935
