,As,Cd,Hg,Pb,Cu,0
arsR,3.691639110999686,1.630291777689547,1.0499991654427876,1.391160276798328,1.028203518,1.151266263959963
zntA,1.201738801873022,20.52472019025418,2.932587412572967,3.347021102917402,1.0966878220725256,1.0781404830600358
zraP,1.2135865598117694,1.072508425176416,1.041296688737321,3.770712465604368,1.1245668032864093,1.1804874451932346
cusC,1.2723168135751046,1.1089501754529938,1.2307129061385291,1.2321556635340025,13.119523667524444,1.0727604192387385
merR,1.1754373110638543,28.656036316981645,169.30908107905086,1.055305905932035,1.2704593517370482,1.204997692606395
cadC,1.3870944910710483,1.4306432839756225,1.2052589961979274,2.6908756575709276,1.2341202883242977,1.2867713875208373
