,As,Cd,Hg,Pb,Cu,0
arsR,3.223155344036838,1.3741696536516774,1.065214905790764,1.1642838457559133,1.1179780934717571,1.0590567671163555
zntA,1.4884009765038477,18.69489790589917,2.203828874669136,5.6471018932334935,1.9635530257252878,1.497296360925063
zraP,1.1460912674713069,1.402312025192235,1.0343391633028673,8.803558626216317,1.4767511109357352,1.2310031600673743
cusC,1.6996894084647274,3.320901587984203,1.5428448101055952,5.033869156,16.870278766476744,3.6888496265987003
merR,1.094389097746111,63.461775,138.79002749934892,1.1184319976907828,1.3162340183563597,1.0869074569029067
cadC,2.4786195262506605,2.7081038731576967,2.349246898180551,2.933009299342333,2.319984238292656,2.336888649160022
