,As,Cd,Hg,Pb,Cu,0
arsR,5.250667813283911,2.224216454,1.5147518659307353,1.9443804282067216,1.7048917702085735,1.5591479760843832
zntA,5.178376543894149,24.652829532469262,10.565665824316529,24.038760163611933,3.5430915237102276,4.647463349262206
zraP,1.2615520327318892,1.3581201894544939,1.743913636936399,36.645511791423395,4.4011670827932585,1.378005916279036
cusC,1.4048396190992372,1.7079885982974221,1.5628633839895638,2.0946875005505903,30.25562159191645,1.3307860928241018
merR,1.0784333061295186,20.292155548354692,411.3557485708012,1.202217036784817,1.2309559106047467,1.071198306996339
cadC,2.049764442472975,2.318447974315465,1.8946911841622176,2.284097120269269,1.5589277690127943,1.5377872143425328
