Slice,arsR,arsR,arsR,arsR,arsRBG,zntA,zntA,zntA,zntA,zntABG,zraP,zraP,zraP,zraP,zraPBG,cusC,cusC,cusC,cusC,cusCBG,merR,merR,merR,merR,merRBG,U139,U139,U139,U139,U139BG
21,2564.244,2546.155,2618.577,2581.292,2363.524,2795.542,2721.476,2714.226,2615.524,2348.185,2373.649,2368.988,2361.976,2353.411,2331.512,2429.15,2454.217,2430.433,2455.533,2306.617,2323.446,2330.157,2325.347,2326.983,2297.388,2310.421,2303.314,2297.851,2297.314,2256.281
22,2570.952,2542.447,2620.226,2576.256,2364.494,2798.053,2716.036,2710.256,2612.345,2342.798,2377.667,2367.548,2361.744,2357.161,2335.524,2433.033,2449.8,2427.9,2447.2,2300.333,2318.851,2326.496,2324.802,2329.463,2293.587,2308.942,2302.322,2292.504,2298.463,2257.802
23,2568.53,2549.435,2614.869,2585.762,2364.649,2781.065,2726.262,2716.155,2607.595,2349.423,2371.928,2370.881,2362.06,2350.327,2337.083,2441.217,2454.05,2430.583,2453.633,2299.3,2320.149,2325.488,2325.992,2327.843,2287.645,2315.174,2305.76,2303.066,2293.992,2255.149
24,2562.756,2548.131,2615.923,2587.244,2361.94,2783.447,2728.447,2706.417,2609.678,2347.053,2377.262,2369.363,2359.44,2355.56,2331.19,2428.567,2442.383,2427.4,2446.133,2298.7,2324.818,2321.347,2323.752,2324.231,2299.083,2311.19,2303.438,2297.851,2297.314,2258.711
25,2566.458,2551.78,2619.78,2587.125,2363.911,2785.869,2734.512,2713.964,2602.964,2350.381,2376.113,2369.25,2369.083,2359.47,2335.803,2436.217,2441.15,2424.2,2454.317,2306.933,2327.149,2327.818,2321.554,2326.926,2299.843,2306.364,2302.554,2301.901,2296.76,2256.281
26,2568.208,2547.762,2621.053,2578.548,2364.958,2782.565,2734.31,2705.137,2597.583,2349.56,2374.839,2370.542,2366.137,2351.47,2336.06,2440.25,2447.433,2423.667,2449.233,2307.35,2319.372,2323.479,2328.099,2327.851,2296.769,2307.355,2299.81,2298.942,2299.529,2259.14
27,2563.798,2550.964,2620.81,2572.673,2365.018,2784.589,2730.387,2711.072,2602.149,2347.732,2371.351,2376.697,2370.363,2353.131,2335.31,2438.033,2444.283,2414.517,2460,2305.083,2330.008,2325.339,2325.826,2326.041,2295.025,2308.132,2303.322,2296.752,2298.843,2254.298
28,2562.173,2562.345,2625.232,2574.661,2364.69,2784.327,2716.024,2709.702,2603.976,2346.322,2371.869,2370.928,2362.863,2357.185,2332.768,2437.75,2442.333,2413.583,2452.283,2305.65,2326.347,2328.107,2321.182,2323.678,2292.182,2311.835,2300.355,2303.157,2296.959,2256.678
29,2561.119,2541.411,2625.708,2572.506,2363.887,2770.708,2733.452,2707.488,2607.339,2347.833,2375.673,2369.738,2364.685,2354.685,2330.649,2433.75,2455.267,2417.7,2451.033,2299.917,2326.207,2323.926,2327.793,2328.116,2298.008,2312.215,2302.19,2290.471,2299.975,2255.86
30,2562.887,2549.536,2621.81,2571.06,2361.256,2770.256,2720.06,2707.238,2613.893,2350.619,2378.202,2369.5,2363.244,2356.649,2335.875,2425.65,2446.483,2420.95,2454.35,2296.033,2326.116,2329.149,2328.24,2330.43,2298.413,2316.372,2300.678,2295.579,2291.579,2256.471
31,2564.083,2553.548,2628.803,2569.262,2364.976,2776.428,2715.482,2705.226,2609.303,2352.643,2373.994,2368.405,2363.601,2355.143,2332.69,2432,2451.2,2413.883,2456.933,2308.917,2322.479,2330.62,2327.521,2323.876,2294.926,2309.843,2303.174,2302.231,2297.008,2252.967
