Slice,arsR,arsR,arsR,arsR,arsRBG,zntA,zntA,zntA,zntA,zntABG,zraP,zraP,zraP,zraP,zraPBG,cusC,cusC,cusC,cusC,cusCBG,merR,merR,merR,merR,merRBG,U139,U139,U139,U139,U139BG
21,2541.697,2525.678,2545.143,2538.661,2364.143,2356.28,2671.482,2595.655,2593.595,2368.072,2396.97,2372.911,2373.018,2376.697,2376.75,2580.667,2582.833,2582.917,2509.35,2391.267,2375.727,2376.471,2368.802,2370.19,2332.19,2415.793,2406.306,2405.438,2380.57,2379.24
22,2544.542,2525.178,2542.565,2539.964,2360.857,2357.5,2667.827,2596.083,2589.738,2369.303,2401.714,2376.607,2373.286,2382.678,2370.601,2584.367,2577.817,2582.05,2513.417,2387.983,2377.132,2373.818,2364.496,2372.397,2335.091,2416.463,2407.876,2400.256,2378.463,2376.14
23,2545.488,2529.464,2544.798,2536.78,2362.649,2354.994,2659.322,2609.75,2599.244,2369.458,2392.577,2373.994,2374.345,2380.077,2375.815,2595.7,2582.067,2583.717,2527.167,2391.567,2375.198,2377.025,2369.942,2368.107,2335.198,2411.81,2411.446,2410.752,2377.116,2375.62
24,2541.5,2522.494,2546.464,2543.75,2362.458,2357.863,2663.119,2603.589,2600.803,2371.81,2391.697,2379.423,2371.161,2380.553,2375.607,2593.45,2581.183,2574.167,2524.717,2394.15,2373.975,2377.041,2364.339,2365.653,2332.074,2414.992,2411.975,2407.24,2381.405,2381.496
25,2541,2517.905,2544.637,2534.833,2361.339,2359.732,2657.101,2613.149,2602.089,2368.012,2396.018,2378.268,2375.803,2377.5,2372.339,2594.65,2577.733,2587.85,2529.683,2386.983,2373.463,2377.653,2369.05,2364.306,2338.025,2411.769,2410.463,2402.612,2376.686,2376.678
26,2543.851,2527.369,2548.387,2539.208,2362.423,2356.738,2654.869,2609.738,2600.601,2367.577,2393.833,2375.333,2372.518,2380.887,2372.678,2593.15,2583.917,2581.683,2531.317,2392.35,2378.893,2376.769,2365.818,2366.14,2335.331,2408.612,2413.264,2404.802,2380.174,2376.777
27,2547.94,2514.065,2545.381,2534.447,2365.464,2354.815,2652.131,2610.417,2596.923,2369.756,2392.863,2377.506,2375.214,2381.089,2376.19,2590.75,2581.617,2587.317,2523.917,2388.283,2379.992,2375.017,2360.355,2364.496,2337.967,2410.504,2410.727,2403.38,2380.802,2379.636
28,2543.286,2520.548,2550.952,2535.911,2367.405,2365.845,2656.381,2610.726,2599.208,2368.125,2393.708,2379.613,2370.072,2381.893,2374.542,2589.717,2579.917,2586.2,2518.317,2396.883,2377.603,2376.281,2362.562,2367.893,2340.364,2409.669,2412.388,2409.306,2381.215,2383.95
29,2543.625,2522.042,2541.202,2531.839,2360.31,2358.56,2659.5,2612.53,2602.792,2369.018,2395.512,2374.506,2373.869,2381.72,2374.399,2592.233,2593.6,2580.717,2518.183,2389.883,2371.793,2379.826,2368.38,2370.074,2336.215,2416.901,2407.256,2409.992,2385.14,2382.917
30,2545.065,2525.81,2552.119,2533.095,2361.827,2358.78,2647.572,2611.244,2605.322,2369.238,2395.845,2374.935,2375.089,2379.815,2367.928,2593.183,2591.833,2575.717,2515.5,2386.617,2374.95,2373.587,2365.24,2369.017,2332.14,2411.074,2405.545,2403.083,2379.455,2375.19
31,2547,2514.655,2545.292,2534.982,2361.357,2358.637,2644.357,2615.065,2609.417,2369.155,2394.107,2374.643,2374.375,2381.631,2371.857,2586.35,2584.15,2585.333,2518.6,2390.75,2378.802,2380.893,2362.636,2366.372,2331.43,2408.165,2409.025,2406.339,2382.744,2376.901
32,2545.06,2527.702,2551.494,2539.208,2360.208,2359.048,2646.565,2622.185,2610.006,2367.072,2393.923,2379.22,2375.565,2381.845,2375.435,2588.317,2595.817,2577.183,2516.167,2388.533,2377.818,2376.099,2367.992,2369.636,2334.876,2411.785,2413,2402.934,2382.901,2379.347
33,2548.536,2527.643,2547.714,2540.178,2360.56,2361.083,2642.393,2621.905,2614.452,2369.024,2398.756,2376.458,2376.423,2382.988,2369.274,2592.533,2595.4,2587.867,2518.95,2400.45,2371.256,2374.24,2363.165,2368.752,2339.975,2411.901,2407.182,2404.364,2380.554,2383.207
34,2549.863,2527.982,2546.428,2539.22,2360.78,2361.958,2642.917,2618.827,2613.887,2367.03,2399.339,2379.595,2379.506,2380.518,2374.351,2598.45,2589.567,2576.5,2520.75,2393.7,2376.967,2378.736,2371.86,2373.471,2333.603,2414.612,2406.198,2413.876,2380.983,2373.372
35,2550.012,2530.869,2550.97,2541.351,2363.339,2358.095,2636.643,2610.077,2619.262,2367.792,2394.815,2383.399,2373.613,2379.173,2368.53,2594.35,2594.983,2582.017,2518.233,2388.117,2381.397,2373.372,2365.826,2372.777,2335.372,2406.264,2410.826,2405.504,2384.041,2378.95
