,ppm,hm,sensor,strain,max
262,0,Cu,cusC,MG,1.2928110694964627
263,0,Cu,cusC,MG,1.5591650689143726
264,10,Cu,cusC,MG,1.5055606570758087
265,10,Cu,cusC,MG,1.4204164550533265
266,10,Cu,cusC,MG,1.444880700694654
267,50,Cu,cusC,MG,0.9480122324159022
268,50,Cu,cusC,MG,1.1098892822173683
269,50,Cu,cusC,MG,1.1101110111011099
270,100,Cu,cusC,MG,1.0032014497130777
271,100,Cu,cusC,MG,1.1337893296853625
272,100,Cu,cusC,MG,0.9005786428195687
273,0,Cd,cadC,MG,1.2693602693602695
274,0,Cd,cadC,MG,1.161923076923077
275,0,Cd,cadC,MG,1.1652712366998081
276,5,Cd,cadC,MG,1.5017321016166283
277,5,Cd,cadC,MG,1.3691620879120878
278,5,Cd,cadC,MG,1.3487929393441203
279,0,Pb,zntA,MG,1.5478127734033247
280,0,Pb,zntA,MG,1.3084913271480434
281,0,Pb,zntA,MG,1.3586736171445122
282,0,Pb,zraP,MG,0.8207816968541468
283,0,Pb,zraP,MG,0.8177118453585077
284,0,Pb,zraP,MG,0.7787034377094705
285,50,Pb,zraP,MG,69.26687518918374
286,50,Pb,zraP,MG,51.60881029936404
287,50,Pb,zraP,MG,54.94463004
288,0,Hg,merR,MG,0.776263118
289,0,Hg,merR,MG,0.915981977
290,0,Hg,merR,MG,0.809189679
