Slice,arsR,arsR,arsR,arsR,arsRBG,zntA,zntA,zntA,zntA,zntABG,zraP,zraP,zraP,zraP,zraPBG,cusC,cusC,cusC,cusC,cusCBG,merR,merR,merR,merR,merRBG,U139,U139,U139,U139,U139BG
21,2663.357,2632.268,2651.428,2637.149,2513.298,2755.726,2786.655,2843.792,2799.762,2499.458,2503.595,2496.928,2487.053,2479.149,2475.339,2599.617,2601.333,2574.05,2581.017,2445.117,2492.025,2491.793,2497.76,2506.281,2487.884,2546.223,2541.463,2532.884,2537.091,2526.752
22,2668.917,2640.053,2655.167,2638.155,2516.81,2757.774,2789.452,2841.72,2803.553,2499.173,2503.107,2496.994,2484.452,2476.44,2475.744,2609.183,2610.4,2562.633,2580.317,2443.383,2494.413,2488.777,2497.744,2508.174,2485.248,2544.264,2534.595,2528.818,2536.504,2530.058
23,2665.036,2642.994,2653.042,2632.822,2514.303,2761.881,2785.405,2832.857,2805.595,2501.774,2506.149,2495.482,2489.637,2480.452,2474.738,2607.383,2603.717,2571.4,2574.383,2440.467,2500.215,2491.942,2499.537,2513.57,2485.777,2543.504,2535.521,2529.116,2525.777,2524.678
24,2669.964,2637.905,2653.149,2635.065,2514.726,2760.964,2782.887,2832.875,2805.428,2496.381,2509.06,2496.78,2485.947,2477.476,2473.661,2604.683,2604.85,2563.533,2584.067,2448.433,2499.86,2486.331,2493.669,2506.975,2488.81,2550.322,2535.298,2531.769,2533.165,2520.314
25,2663.5,2647.303,2660,2630.464,2515.185,2756.803,2774.238,2836.47,2800.589,2504.19,2512.661,2499.762,2491.03,2480.428,2476.28,2611.983,2608.267,2572.867,2584.467,2449.783,2499.306,2482.174,2499.587,2506.248,2481.562,2550.413,2539.661,2529.562,2531.893,2526.479
26,2665.762,2652.113,2650.976,2638.476,2513.994,2760.607,2774.387,2844.345,2801.411,2499.119,2503.208,2496.685,2481.697,2482.625,2473.208,2601.1,2614.933,2562.433,2578.85,2440.217,2497.14,2490.57,2499.298,2512.364,2490.207,2546.364,2534.645,2529.099,2531.24,2521.421
27,2666.22,2650.506,2654.232,2639.583,2516.643,2762.631,2761.768,2832.631,2820.744,2504.81,2504.952,2496.685,2486.673,2477.107,2479.185,2606.617,2603.983,2566.633,2578.667,2445.25,2495.926,2485.909,2500.215,2509.826,2485.76,2549.686,2535.653,2530.686,2538.116,2523.793
28,2663.405,2646.53,2651.28,2640.863,2510.405,2766.768,2765.393,2828.619,2818.125,2500.833,2501.417,2496.899,2483.678,2481.083,2475.333,2605.183,2616.383,2568.133,2571.767,2442.883,2496,2491.909,2496.992,2508.05,2484.182,2541.364,2534.083,2533.942,2531.248,2520.455
29,2667.685,2652.197,2655.732,2636.333,2510.833,2753.667,2758.411,2831.744,2827.958,2501.923,2507.095,2500.649,2488.845,2480.042,2474.988,2606.45,2609.55,2571.433,2572.75,2448.267,2501.372,2488.686,2499.421,2501.05,2487.331,2546.802,2530.587,2535.107,2529.595,2525.017
30,2663.012,2645.185,2650.542,2636.19,2517.875,2754.405,2754.381,2831.952,2829.625,2502.762,2502.47,2498.393,2485.214,2477.131,2480.375,2611.2,2615.517,2568.233,2577.95,2441.05,2500.347,2494.818,2502.099,2508.38,2483.504,2544.802,2537.504,2526.719,2537.273,2522.438
31,2663.25,2649.798,2651.405,2638.512,2513.613,2755.69,2747.006,2829.417,2834.553,2502.685,2509.899,2496.149,2480.083,2474.19,2472.381,2608.4,2619.733,2565.767,2579.283,2436.767,2500.388,2493.926,2488.752,2504.455,2488.496,2543.322,2529.636,2534.066,2531.149,2518.678
32,2664.917,2645.637,2648.673,2637.488,2514.774,2753.423,2753.435,2832.893,2847.661,2498.197,2509.601,2497.048,2485,2476.917,2469.548,2603.067,2608.633,2562.55,2579.533,2443.383,2502.603,2487.314,2493.116,2506.702,2486.446,2542.909,2528.702,2530.471,2538.868,2523.041
33,2660.482,2654.018,2648.197,2642.303,2516.351,2752.524,2755.327,2829.565,2856.03,2499.72,2509.375,2498.97,2486.322,2481.601,2473.262,2610.317,2607.967,2563.283,2572.1,2448.05,2501.579,2491.95,2498.19,2510.967,2488.231,2539.81,2534.182,2529.686,2531.926,2528.62
34,2659.44,2650.423,2647.208,2638.81,2516.232,2748.19,2748.822,2835.637,2862.803,2501.238,2508.072,2503.083,2483.5,2484.601,2477.952,2613.667,2608.983,2563.733,2586.017,2442.233,2497.884,2493.661,2500.355,2504.983,2482.322,2549.347,2531.744,2536.364,2535.719,2524.231
35,2661.976,2644.447,2640.072,2644.887,2518.798,2744.197,2747.363,2832.238,2866.119,2498.447,2506,2492.292,2490.494,2481.065,2472.327,2606.483,2613.967,2562.9,2579.4,2436.6,2498.273,2492.008,2492.942,2508.174,2488,2546.347,2540.983,2529.752,2532.471,2521.959
36,2662.315,2654.083,2638.685,2639.857,2512.488,2735.44,2750.167,2840.458,2855.131,2503.553,2507.702,2494.405,2489.012,2482.708,2475.31,2609.017,2610.183,2571.05,2577.333,2442.383,2501.545,2488.331,2501.083,2506.76,2483.198,2540.934,2536.099,2532.744,2535.802,2524.298
37,2657.589,2655.369,2635.613,2634.214,2514.083,2736.774,2748.613,2836.28,2868.589,2501.928,2505.875,2496.518,2483.762,2479.077,2477.381,2602.683,2614.85,2570.283,2578.483,2440.917,2498.818,2487.099,2495.537,2506.76,2487.107,2542.661,2530.884,2532.752,2534.471,2524.256
38,2666.226,2645.143,2637.524,2647,2517.065,2738.357,2748.595,2834.851,2869.75,2502.006,2509.322,2497.024,2489.125,2478.762,2477.065,2602.017,2598.233,2563.633,2596.35,2441,2500.281,2494.686,2497.421,2504.612,2481.463,2546.479,2531.116,2534.521,2534.182,2522.058
39,2658.851,2648.387,2640.417,2646.988,2515.845,2738.232,2742.863,2835.161,2876.232,2500.72,2502.44,2498.173,2490.036,2481.208,2479.905,2602.9,2601.183,2565.633,2579.8,2442.383,2496.603,2488.868,2500.347,2502.074,2483.388,2542.165,2530.678,2536.537,2533.612,2528.909
